id,name,text,trans
0000000000000,プロデューサー,咲耶、お待たせ！,"Sorry to keep you waiting, Sakuya!"
4901900110010,咲耶,"フフ、おかえり
一体、何を買ってきてくれたのかな？","Fufu, welcome back.
I wonder, just what have you bought for me?"
0000000000000,プロデューサー,"はは、オシャレなもの見つけてさ
咲耶はこういうの、好きかわからないんだけど","Haha, I found something quite stylish.
I'm not sure if you'd like this kind of thing."
4901900110020,咲耶,"────おや、これは……アロマワックスサシェだね
ありがとう、プロデューサー。とても嬉しいよ","──Oh my, this is... an aromatic wax sachet.
Thank you, Producer. This makes me very happy."
info,special_communications/490190011.json,
Translator,Burbur,
