id,name,text,trans
0000000000000,プロデューサー,"……そう、オリオンの少し下なんだけど……
──うーん、やっぱ見えないか……","...Yeah, however it's a little below Orion's belt...
Well, can we still not see it?"
2008004040010,霧子,…………,...
2008004040020,霧子,"でも……
そこに……いるんですね……","But...
It would be... right there..."
0000000000000,プロデューサー,"ああ。オリオン座の足元のあたりだ
──やっぱり、うさぎ座は街中じゃ難しいかなぁ……","Correct. It would be right next to Orion's foot. 
As I thought, it's hard to see Lepus from the city..."
2008004040030,霧子,"……恥ずかしがり屋のうさぎさん……
……ふふっ","...Lepus is a shy person...
...Heheh."
0000000000000,プロデューサー,"──霧子、今日も悪いな
またこんな時間になってしまって……","Kiriko, today's also no good. 
It became like this again..."
2008004040040,霧子,"そ、そんな……
プロデューサーさんも……ありがとうございます……","T-That is...
I also want to thank you... very much..."
0000000000000,プロデューサー,"俺は大丈夫だ
…………はぁー！","I'm fine.
...Haa!"
0000000000000,プロデューサー,"霧子もどうだ？
伸びをすると気持ちいいぞ","What about you Kiriko?
It feels great to stretch. "
2008004040050,霧子,ふふっ……はい……,Heheh... Yes...
2008004040051,霧子,──んっ……んーっ……！,Hm... Hmm...!
0000000000000,プロデューサー,──ふぅ……,Phew...
2008004040060,霧子,──はぁ……,Haa...
2008004040061,霧子,…………あ,...Ah.
2008004040070,霧子,うさぎさん……,Lepus...
0000000000000,プロデューサー,"ん？　……あぁ、うさぎは見えないけど
オリオンだな","Hm? ...Well, you can't see Lepus, though.
That's Orion, isn't it?"
2008004040080,霧子,はい……,Yes...
2008004040090,霧子,"ふふ……
おかえりなさい……うさぎさん……","Hehe...
""Welcome back""... Lepus..."
0000000000000,プロデューサー,"おかえりなさい？
……あぁ、うさぎ座は空を一回りしてきたんだもんな","""Welcome back""?
...Ahh, Lepus has made one orbit in the sky huh. "
0000000000000,プロデューサー,──というか、地球の方が回っているのか,"Well I guess the Earth has made one rotation. "
2008004040100,霧子,"……そ、そうですね……
──あ","...I guess that's true.
Ah."
2008004040110,霧子,"それじゃ……
プロデューサーさんも、おかえりなさい、です","Well then...
You too, welcome home. "
0000000000000,プロデューサー,……俺もか？,...Me too?
2008004040120,霧子,"はい……
プロデューサーさんも……","Yes...
Producer also..."
2008004040130,霧子,"地球と一緒に……
一周しました……！","Together with the Earth...
Made one rotation!"
0000000000000,プロデューサー,"ははっ！
……じゃあ、ただいま","Hahah!
...Well then, ""I'm back!"""
2008004040140,霧子,……,...
0000000000000,プロデューサー,……ん？,...Hm?
2008004040150,霧子,"い、いえ……
…………ふふ、わたし","N-Nothing...
...Hehe, I,"
2008004040160,霧子,"小さい頃から……
両親が……帰ってくるのが遅くて……","Ever since I was young...
My parents always came home late..."
2008004040170,霧子,"あんまり……
ただいまとか……おかえりとかって……","So I never really...
Got to say things like ""I'm back!"" or ""Welcome back!""..."
0000000000000,プロデューサー,霧子……,Kiriko...
2008004040180,霧子,"……
地球は……回ってるから……","...
Since the Earth... is spinning..."
2008004040190,霧子,"どこにいても……
自然に……戻ってきて……","No matter where you are...
It would naturally... return..."
2008004040200,霧子,おかえりって……言えます……,"And I'd say... ""Welcome back""..."
select,,"霧子も
おかえりだぞ？","Kiriko,
""Welcome back""
to you too, yeah?"
select,,"星が見えないことは
あるけどな","You can't see
the stars, though"
select,,"霧子も、
早く帰らなきゃな","Kiriko, you also
have to return early"
