id,name,text,trans
5018001000210010,冬優子,"あー！
さいっこーに気持ち良かった！",Ahー! That was the most wonderful feeling!
0000000000000,プロデューサー,うん、伸び伸びした良いステージだったぞ,"Yeah, it was a good, comfortable stage."
5018001000210020,冬優子,"好き勝手にパフォーマンスして褒められるなんて、
オーディションなんて楽なもんよね！","Being praised for performing how I like, auditions are sure easy!"
0000000000000,プロデューサー,"確かに、今の冬優子なら
どんなオーディションも突破できる……けど","Certainly, if you're performing as you are now you can surmount any audition... however."
0000000000000,プロデューサー,"冬優子はちゃんとまわりや審査員を見てた
好き勝手になんか動いてないだろ？","You were looking around to watch the judges. Doesn't seem like you were acting however you like, right?"
5018001000210030,冬優子,"……何よ、そういうのは言わぬが花なの
あんた、ほんと空気読めないわね","...what the, things like that are better left unsaid. Can't you read the room?"
5018001000210040,冬優子,"だいたい、あんたなんかに褒められるより
審査員に認められる方が大事なんだから！","First of all, that's because it's way more important to be recognized by the judges than by you!"
5018001000210050,冬優子,"……でも、あんたは……
ふゆのちっちゃいとこまで、ちゃんと見てるんでしょうね","...but, I was... also looking just a little bit, for you."
info,produce_communication_auditions/501800100021.json,
Translator,,
