text,trans,type
プロデュース開始時に絆＋$num,Starting Bonds＋$1,
一緒にラジオへ出演すると$noun＋$num,Have a Radio Show together for $1＋$2,
「約束」を守れなかった場合に$percentの確率でテンションが下がらない,$1 chance to not lose tension if a promise is not kept,
「休む」を選択時に$percentの確率で体力回復量＋$num,$1 chance to increase the stamina gained by a rest by ＋$2,
レッスンかお仕事を選択する時に$percentの確率でトラブル率－$num,$1 chance to reduce the trouble rate of lesson or job rooms by －$2,
一緒にトークイベントへ出演すると$noun＋$num,Have a Talkshow together for $1＋$2,
レッスンかお仕事を選択する時に$percentの確率で体力消費量－$percent,$1 chance to reduce the stamina consumption of lesson or job rooms by －$2,
テンション最高時に一緒に行動すると確率で$noun＋$num,Train together at max tension to get $1＋$2,
一緒にボーカルレッスンをすると$noun＋$num,Have a Vocal Lesson together for $1＋$2,
スキル発動時に一緒に行動してトラブルが起きなかった場合パーフェクトが発生,When this skill activates the room this support is in will always earn a Perfect,
一緒に雑誌の撮影をすると$noun＋$num,Have a Photoshoot together for $1＋$2,
一緒に雑誌の撮影をすると体力$num回復,Have a Photoshoot together to recover $1 Stamina,
一緒にトークイベントへ出演すると体力$num回復,Have a Talkshow together to recover $1 Stamina,
一緒にラジオへ出演すると体力$num回復,Have a Radio Show together to recover $1 Stamina,
一緒にビジュアルレッスンをすると体力$num回復,Have a Visual Lesson together to recover $1 Stamina,
一緒にボーカルレッスンをすると体力$num回復,Have a Vocal Lesson together to recover $1 Stamina,
一緒にダンスレッスンをすると体力$num回復,Have a Dance Lesson together to recover $1 Stamina,
一緒に行動してエクセレントが発生するとエクセレント効果\+$percent,Train together for an extra ＋$1 excellent chance,
一緒に行動してエクセレントが発生するとエクセレント効果＋$percent,Train together for an extra ＋$1 excellent chance,
一緒にビジュアルレッスンをすると$noun＋$num,Have a Visual Lesson together for $1＋$2,
一緒にダンスレッスンをすると$noun＋$num,Have a Dance Lesson together for $1＋$2,
行動した場所に自分以外のユニットメンバーがいると1人につき$noun＋$num,For each other produce or support idol in the room of the same unit gain $1＋$2,
アイドルイベントとサポートイベントの発生率$num倍,Idol Events and Support Events occur $1x more often,
オーディションで$num位を取ると$noun＋$num,Take $1st in an audition for $2＋$3,
オーディションに成功すると$noun＋$num,Pass an audition for $1＋$2,
体力サポート,"Stamina Support",text
おやすみブースト,"Rest Boost",text
アイドルの絆,"Idol Bonds",text
エクセレントブースト,"Excellent Boost",text
オーディションマスタリー$noun,"Audition Mastery-$1",text
ダンスマスタリー$noun,"Dance Mastery-$1",text
テンションマスタリー$noun,"Tension Mastery-$1",text
トラブルガード,"Trouble Guard",text
トークマスタリー$noun,"Talkshow Mastery-$1",text
パーフェクトマスタリー,"Perfect Mastery",text
ビジュアルマスタリー$noun,"Visual Mastery-$1",text
ボーカルマスタリー$noun,"Vocal Mastery-$1",text
ユニットマスタリー$noun,"Unit Mastery-$1",text
ラジオマスタリー$noun,"Radio Mastery-$1",text
撮影マスタリー$noun,"Photoshoot Mastery-$1",text
約束リカバー,"Promise Recovery",text
イベントブースト,"Event Boost",text
ボーカルマスタリー,Vocal Mastery,text
オーディションマスタリー,"Audition Mastery",text
ダンスマスタリー,"Dance Mastery",text
テンションマスタリー,"Tension Mastery",text
トラブルガード,"Trouble Guard",text
トークマスタリー,"Talkshow Mastery",text
パーフェクトマスタリー,"Perfect Mastery",text
ビジュアルマスタリー,"Visual Mastery",text
ユニットマスタリー,"Unit Mastery",text  
ラジオマスタリー,"Radio Mastery",text
撮影マスタリー,"Photoshoot Mastery",text
施設マスタリー,"Location Mastery",text
ノウハウ発現マスタリー,"Know-How Mastery",text
ボーカル滞在マスタリー,"Vocal Stay Mastery",text
ダンス滞在マスタリー,"Dance Stay Mastery",text
ビジュアル滞在マスタリー,"Visual Stay Mastery",text
Dance,Dance,noun
Visual,Visual,noun
Vocal,Vocal,noun
Da,Da,noun
Vi,Vi,noun
Vo,Vo,noun
メンタル,Mental,noun
Me,Me,noun
SP,SP,noun
体力,Stamina,noun
歌唱力,Vocals,noun
安定感,Stability,noun
表現力,Expressiveness,noun
集中力,Focus,noun
団結力,Teamwork,noun
Vocal上限,Vocal Limit,noun
Dance上限,Dance Limit,noun
Visual上限,Visual Limit,noun
Vo上限,Vo Limit,noun
Da上限,Da Limit,noun
Vi上限,Vi Limit,noun
"Vocal\nアピール","Vocal\nAppeal",text
"Dance\nアピール","Dance\nAppeal",text
"Visual\nアピール","Visual\nAppeal",text
"Excellent\nアピール","Excellent\nAppeal",text
興味無視,Ignore Judge\nInterest,text
"一気に満足\nさせる","Instant Judge\nCaptivation",text
全観客に\nアピール,All Judge\nAppeal,text
メンタルが多い\nほど効果UP,High Mental\nEffect UP,text
メンタルが少な\nいほど効果UP,Low Mental\nEffect UP,text
思い出ゲージが\n多いほど効果UP,High Memory\nGauge Effect UP,text
注目度が高い\nほど効果UP,High Attention\nEffect UP,text
注目度が低い\nほど効果UP,Low Attention\nEffect UP,text
所属ユニットが\n多いほど効果UP,Matching Unit\nEffect UP,text
消去,Cleanse,text
アピール倍率\nUP,Appeal\nMultiplier UP,text
思い出ゲージ\nUP,Memory\nGauge UP,text
思い出ゲージ\nDOWN,Memory\nGauge DOWN,text
メンタル回復,Mental\nRecovery,text
自身のメンタ\nルを減らす,Mental\nSelf Drain,text
リザレクショ\nン効果付与,Resurrection\nEffect,text
リラックス\n効果付与,Relax\nEffect,text
メランコリー\n効果付与,Melancholy\nEffect,text
メンタルダメ\nージCUT,Mental\nDamage CUT,text
メンタル\nダメージUP,Mental\nDamage UP,text
注目度UP,Attention\nUP,text
注目度\nDOWN,Attention\nDOWN,text
リアクション\n回避率UP,React Evade\nRate UP,text
回避時ステー\nタス効果付与,Evasion\nEffect,text
ダメージ時ステー\nタス効果付与,When Damaged\nEffect,text
興味UP,Interest\nUP,text
興味DOWN,Interest\nDOWN,text
興味反転,Interest\nFlip,text
影響力\nDOWN,Influence\nDOWN,text
影響力\nUP,Influence\nUP,text
ダメージを\n受けるまで,When\nDamaged,text
PERFECT\nなら効果UP,On PERFECT\nEffect,text
必ず最初に\nアピール,Always First\nAppeal,text
必ず最後に\nアピール,Always Last\nAppeal,text
デュエット,Duet,text
期間限定\nガシャ,Limited\nGacha,text
通常ガシャ,Regular\nGacha,text
各種\nイベント,Events,text
その他,Other,text
「約束」を守れなかった場合に$percentの確率でテンションが下がらない　※S.T.E.P.では効果を発揮しません,$1 chance to not lose tension if a promise is not kept ※No effect in S.T.E.P.,
ボーカルレッスン滞在率が大UP,Vocal Lesson room retention rate UP,
ダンスレッスン滞在率が大UP,Dance Lesson room retention rate UP,
ビジュアルレッスン滞在率が大UP,Visual Lesson room retention rate UP,
スキル発動時に一緒に行動してトラブルが起きなかった場合、行動した場所がレベルアップ,,
ノウハウブック獲得時、ノウハウ発現確率がUP,"additional Know-How discovery UP when acquiring a Know-How Book",
