name,ja,en
announce.package,パッケージ,Bundle
announce.noticeLabel.topics,開催中のトピックス,Current Topics
announce.noticeLabel.update,すべてのお知らせ,All Announcements
announce.noticeLabel.problem,メンテナンス・不具合情報,Maintenance・Issues News
announce.noticeLabel.contents,コンテンツ情報,Content Announcements
commonMenu.produceRetire.comment1.produce,プロデュース中のデータは失われます\n消費したスタミナと\nプロデュースアイテムは返却されません,You'll lose your current progress\r\nConsumed stamina and\r\nItems will not be returned.
commonMenu.produceRetire.comment1.trueEndTeaching,プロデュース中のデータは失われます,You'll lose your current progress
commonMenu.produceRetire.comment2,進行中のプロデュースを終了して\n新たなアイドルをプロデュースします,Produce a new idol and\r\nEnd the current Production
commonMenu.produceResume.produceTitle,プロデュース再開,Resume Production
commonMenu.produceResume.trueEndTeachingTitle,True End研修再開,Resume True End Training
selectLoginBonus.comment,好きな場所を選択してください,Please choose your favorite
selectLoginBonus.rewardPop.title,アイテム獲得,Item Reward
selectLoginBonus.rewardPop.text,以下のアイテムがプレゼントBOXに送られました,Items below have been sent to present box
ending.popReceiveProduceIdol.title,報酬受け取り,Receive Rewards
ending.popReceiveProduceIdol.comment,以下の報酬を受け取りました,Received the rewards below
trueEndTeachingEnding.receivePop.popTitle,True End研修達成,True End Training Complete
trueEndTeachingEnding.receivePop.missionTitle,True End研修でTrue Endを達成しよう,Achieved a True End in True End Training
trueEndTeachingEnding.receivePop.adviceText,研修お疲れさまでした〜\nこれからもプロデュース、がんばっていきましょう\nね〜,"Thanks for training～\r\nFor future Productions, let's do our\r\nbest, okay～?"
trueEndTeachingEnding.receivePop.rewardDetailText,True End研修達成報酬SSRプロデュースアイドルです,True End Training Reward SSR Produce Idol
errorDialog.trueEndTeachingDuplicate,進行中のTrue End研修があるので\n開始できませんでした。\n一度True End研修を終了してから始めてください。,Could not start because there is already\r\na True End training.\r\nPlease finish the current training.
gasha.skinRateDescription,衣装,Outfit
gasha.skinFixSubtitle,通常ガシャ提供割合,Regular Gacha Drop Rate
gasha.skinFixSubtitleIdol,衣装確定の衣装一覧,Guaranteed Outfit Costume List
gasha.normalWithSkinSubtitleIdol,通常ガシャの提供アイドル、衣装一覧,"Regular Gacha Idols, Outfit List"
gasha.gashaHistory.skinGashaName,「%{name}」で獲得した衣装です。,Received an outfit for「%{name}」
gasha.gashaHistory.replacedWithTicket,すでに所持していたため「%{name}」と交換しました。,Replaced with「%{name}」since it was already owned。
gasha.skinReplacement.title,確認,Confirm
gasha.skinReplacement.message,すでに取得済の衣装は\n「%{name}」に変換されました,Already owned costumes have\nbeen converted to「%{name}」
gasha.skinReplacement.possessionLabel,所持数,Owned
header.trueEndTeachingProduceIdolSelect,プロデュースアイドル選択,Produce Idol Selection
header.trueEndReport,研修レポート,Training Report
loginBonus.christmasClerkComment.greeting,プロデューサーさん、メリークリスマス！\rこちらは今日のログインボーナスですよ,"Producer, Merry Christmas!\r\n Here's today's Login Bonus!"
loginBonus.christmasClerkComment.nextBonus,明日はこちらがもらえますから、頑張っていきましょ〜,"You'll receive this tomorrow,so do your best～"
loginBonus.christmasClerkComment.totalBonus,今日はプロデューサー就任%{totalLoginDays}日記念ですね！\rこれはみんなからのお祝いです！受け取ってください！,Today is your celebratory day %{totalLoginDays} as a Producer!\rThis is a gift from everyone! Please accept it!
produceMain.supportSkillsDialog.title,発動中スキル,Active Skill
produceMain.supportSkillsDialog.noSkill,発動中のサポートスキルはありません,No active support skills
produceMain.supportSkillsDialog.helper,お手伝い中のアイドルです,Helping Idol
