ja,zh
全アイドルと七草はづきの絆を中UP\n中間ライブの流行1位をDanceに変更\nトークイベントのレベルを1上昇,全アイドルと七草はづきの絆を中UP\n中間ライブの流行1位をDanceに変更\nトークイベントのレベルを1上昇
絆UP/中間流行Vi/ラジオUP,絆UP/中間流行Vi/ラジオUP
全アイドルと七草はづきの絆を中UP\n中間ライブの流行1位をVisualに変更\nラジオの収録のレベルを1上昇,全アイドルと七草はづきの絆を中UP\n中間ライブの流行1位をVisualに変更\nラジオの収録のレベルを1上昇
絆UP/中間流行Da/トークUP,絆UP/中間流行Da/トークUP
アイドルのテンションが小UP\nアイドルの体力が小回復,アイドルのテンションが小UP\nアイドルの体力が小回復
アイドルのテンションが小UP\nアイドルの親愛度を小UP,アイドルのテンションが小UP\nアイドルの親愛度を小UP
アイドルの親愛度が大UP\nアイドルの体力が中回復\nサポートスキルの発動率が中UP\nダンスレッスンのレベルを2上昇,アイドルの親愛度が大UP\nアイドルの体力が中回復\nサポートスキルの発動率が中UP\nダンスレッスンのレベルを2上昇
アイドルの親愛度が大UP\nアイドルの体力が中回復\nサポートスキルの発動率が中UP\nダンスレッスンのレベルを2上昇\n+5,アイドルの親愛度が大UP\nアイドルの体力が中回復\nサポートスキルの発動率が中UP\nダンスレッスンのレベルを2上昇\n+5
アイドルの親愛度が大UP\nアイドルの体力が中回復\nサポートスキルの発動率が中UP\nトークイベントのレベルを2上昇,アイドルの親愛度が大UP\nアイドルの体力が中回復\nサポートスキルの発動率が中UP\nトークイベントのレベルを2上昇
アイドルの親愛度が大UP\nアイドルの体力が中回復\nサポートスキルの発動率が中UP\nビジュアルレッスンのレベルを2上昇,アイドルの親愛度が大UP\nアイドルの体力が中回復\nサポートスキルの発動率が中UP\nビジュアルレッスンのレベルを2上昇
アイドルの親愛度が大UP\nアイドルの体力が中回復\nサポートスキルの発動率が中UP\nボーカルレッスンのレベルを2上昇,アイドルの親愛度が大UP\nアイドルの体力が中回復\nサポートスキルの発動率が中UP\nボーカルレッスンのレベルを2上昇
アイドルの親愛度が大UP\nアイドルの体力が中回復\nサポートスキルの発動率が中UP\nラジオの収録のレベルを2上昇,アイドルの親愛度が大UP\nアイドルの体力が中回復\nサポートスキルの発動率が中UP\nラジオの収録のレベルを2上昇
アイドルの親愛度が大UP\nアイドルの体力が中回復\nサポートスキルの発動率が中UP\n雑誌の撮影のレベルを2上昇,アイドルの親愛度が大UP\nアイドルの体力が中回復\nサポートスキルの発動率が中UP\n雑誌の撮影のレベルを2上昇
アイドルの親愛度が大UP\nアイドルの体力が大回復\nサポートスキルの発動率が中UP\n限定スキル[Dance上限＋100]を解放,アイドルの親愛度が大UP\nアイドルの体力が大回復\nサポートスキルの発動率が中UP\n限定スキル[Dance上限＋100]を解放
アイドルの親愛度が大UP\nアイドルの体力が大回復\nサポートスキルの発動率が中UP\n限定スキル[Visual上限＋100]を解放,アイドルの親愛度が大UP\nアイドルの体力が大回復\nサポートスキルの発動率が中UP\n限定スキル[Visual上限＋100]を解放
テンションUP/体力回復,テンションUP/体力回復
テンションUP/体力回復\n消費体力-5\nアイドルのテンションが小UP\nアイドルの体力が小回復,テンションUP/体力回復\n消費体力-5\nアイドルのテンションが小UP\nアイドルの体力が小回復
テンションUP/親愛度UP,テンションUP/親愛度UP
トラブル率+10%,トラブル率+10%
パーフェクト発生率増加(小),パーフェクト発生率増加(小)
メンタル+10,メンタル+10
メンタル+5,メンタル+5
全アイドルと七草はづきの絆を中UP\nアイドルの体力が中回復\nダンスレッスンのレベルを1上昇,全アイドルと七草はづきの絆を中UP\nアイドルの体力が中回復\nダンスレッスンのレベルを1上昇
全アイドルと七草はづきの絆を中UP\nアイドルの体力が中回復\nトークイベントのレベルを1上昇,全アイドルと七草はづきの絆を中UP\nアイドルの体力が中回復\nトークイベントのレベルを1上昇
全アイドルと七草はづきの絆を中UP\nアイドルの体力が中回復\nボーカルレッスンのレベルを1上昇,全アイドルと七草はづきの絆を中UP\nアイドルの体力が中回復\nボーカルレッスンのレベルを1上昇
全アイドルと七草はづきの絆を中UP\nアイドルの体力が中回復\nラジオの収録のレベルを1上昇,全アイドルと七草はづきの絆を中UP\nアイドルの体力が中回復\nラジオの収録のレベルを1上昇
全アイドルと七草はづきの絆を中UP\nアイドルの体力が中回復\n限定スキルを解放,全アイドルと七草はづきの絆を中UP\nアイドルの体力が中回復\n限定スキルを解放
全アイドルと七草はづきの絆を中UP\nアイドルの体力が中回復\n雑誌の撮影のレベルを1上昇,全アイドルと七草はづきの絆を中UP\nアイドルの体力が中回復\n雑誌の撮影のレベルを1上昇
全アイドルと七草はづきの絆を中UP\nアイドルの親愛度を小UP\nビジュアルレッスンのレベルを1上昇,全アイドルと七草はづきの絆を中UP\nアイドルの親愛度を小UP\nビジュアルレッスンのレベルを1上昇
全アイドルと七草はづきの絆を中UP\nアイドルの親愛度を小UP\nボーカルレッスンのレベルを1上昇,全アイドルと七草はづきの絆を中UP\nアイドルの親愛度を小UP\nボーカルレッスンのレベルを1上昇
全アイドルと七草はづきの絆を中UP\n中間ライブの流行1位をDanceに変更\n雑誌の撮影のレベルを1上昇,全アイドルと七草はづきの絆を中UP\n中間ライブの流行1位をDanceに変更\n雑誌の撮影のレベルを1上昇
全アイドルと七草はづきの絆を中UP\n中間ライブの流行1位をVisualに変更\nトークイベントのレベルを1上昇,全アイドルと七草はづきの絆を中UP\n中間ライブの流行1位をVisualに変更\nトークイベントのレベルを1上昇
全アイドルと七草はづきの絆を中UP\n中間ライブの流行1位をVisualに変更\nビジュアルレッスンのレベルを1上昇,全アイドルと七草はづきの絆を中UP\n中間ライブの流行1位をVisualに変更\nビジュアルレッスンのレベルを1上昇
全アイドルと七草はづきの絆を中UP\n中間ライブの流行1位をVisualに変更\n雑誌の撮影のレベルを1上昇,全アイドルと七草はづきの絆を中UP\n中間ライブの流行1位をVisualに変更\n雑誌の撮影のレベルを1上昇
全アイドルと七草はづきの絆を中UP\n中間ライブの流行1位をVocalに変更\nダンスレッスンのレベルを1上昇,全アイドルと七草はづきの絆を中UP\n中間ライブの流行1位をVocalに変更\nダンスレッスンのレベルを1上昇
全アイドルと七草はづきの絆を中UP\n最終ライブの流行1位をDanceに変更\n雑誌の撮影のレベルを1上昇,全アイドルと七草はづきの絆を中UP\n最終ライブの流行1位をDanceに変更\n雑誌の撮影のレベルを1上昇
全アイドルと七草はづきの絆を中UP\n最終ライブの流行1位をVisualに変更\n雑誌の撮影のレベルを1上昇,全アイドルと七草はづきの絆を中UP\n最終ライブの流行1位をVisualに変更\n雑誌の撮影のレベルを1上昇
全アイドルと七草はづきの絆を中UP\n最終ライブの流行1位をVocalに変更\nダンスレッスンのレベルを1上昇,全アイドルと七草はづきの絆を中UP\n最終ライブの流行1位をVocalに変更\nダンスレッスンのレベルを1上昇
全アイドルと七草はづきの絆を中UP\n最終ライブの流行1位をVocalに変更\nボーカルレッスンのレベルを1上昇,全アイドルと七草はづきの絆を中UP\n最終ライブの流行1位をVocalに変更\nボーカルレッスンのレベルを1上昇
全アイドルと七草はづきの絆を中UP\n最終ライブの流行1位をVocalに変更\nラジオの収録のレベルを1上昇,全アイドルと七草はづきの絆を中UP\n最終ライブの流行1位をVocalに変更\nラジオの収録のレベルを1上昇
消費体力+10,消費体力+10
消費体力+15,消費体力+15
消費体力+20,消費体力+20
消費体力-5,消費体力-5
絆UP/中間流行Da/雑誌UP,絆UP/中間流行Da/雑誌UP
絆UP/中間流行Vi/トークUP,絆UP/中間流行Vi/トークUP
絆UP/中間流行Vi/雑誌UP,絆UP/中間流行Vi/雑誌UP
絆UP/中間流行Vi/ViレッスンUP,絆UP/中間流行Vi/ViレッスンUP
絆UP/中間流行Vo/DaレッスンUP,絆UP/中間流行Vo/DaレッスンUP
