name,version
images/ui/common/parts_particles.json_image,7
images/content/start/bg/16.jpg,1
images/content/start/effect/10/particle_1/particle_1.png,1
images/content/start/effect/10/white_frame.png,1
particles/common/tap_effect/images.json_image,6
images/bg/017.jpg,6
item_detail_pop_base.png,6
my_page_idol_balloon_base.png,7
images/ui/common/parts_card_frame.json_image,6
images/ui/common/parts_moving_bg.json_image,6
images/content/active_skills/icon.json_image,12
images/content/passive_skills/icon.json_image,10
images/ui/common/parts_fes_deck_rank.json_image,7
images/ui/my_page/mask.json_image,10
images/ui/common/parts_pagenator.json_image,2
images/bg/001.jpg,5
particles/common/twinkle_side/particle.png,6
