charaLeft,sourceLeft,transLeft,charaRight,sourceRight,transRight
真乃,ライブ、始まるね…っ \n灯織ちゃんっ,,灯織,うん…！ \n一緒に楽しもう…！,
真乃,果穂ちゃんっ、せーのっ\nえい、えい、おーっ,,果穂,えいっえいっおー！！\nえへへっ、がんばりますっ！,
灯織,摩美々さん\nよろしくお願いします,,摩美々,んー\nよろしく灯織ー,
めぐる,真乃っ\n楽しんでいこう！,,真乃,うん、めぐるちゃん…っ,
めぐる,いつものあれ、やろう！,,灯織,いいよ\n掛け声はめぐる、お願い,
恋鐘,ば～りがんばらんばね！,,摩美々,がんばらんばぁ,
恋鐘,ていあ～～～ん！,,結華,こがたん！\nそれ三峰のやつー！,
摩美々,…レッスンのしすぎで\n体が動かないかもー,,恋鐘,ふぇ～～～！？　,
咲耶,さあ摩美々、\n私たちの本気を見せようか,,摩美々,んー\nまあ、ほどほどにねー,
咲耶,実は、近くに\n良いカフェを見つけてね,,結華,終わったら行っちゃう？,
結華,ふゆゆ～！\nウインクして～！,,冬優子,ふふっ、それはライブまで\nおあずけだよっ！,
霧子,ふふ……！,,真乃,ふふ……っ,
霧子,しゅっぱーつ……,,恋鐘,しんこ～,
果穂,ワクワクしてきましたっ！,,めぐる,うんうん！　楽しもうねー！,
果穂,ちょこ先輩っ,,智代子,うんっ\n果穂、行こっか！,
智代子,今日も元気に\nクライマックス～！,,樹里,最っ高なの、\n届けてやろうな！,
樹里,凛世！　出番だ！,,凛世,ともに…\n樹里さん…！,
樹里,黄色のコンサートライトが\n多いんじゃねーか？,,夏葉,あら、緑じゃないかしら？,
凛世,すー…… \nはー……,,智代子,すーっ \nはーっ,
夏葉,目指すは……！,,果穂,ナンバーワンッ！　です！,
夏葉,煌めきますかー？,,智代子,煌めきまーす！,
甘奈,摩美々ちゃんの着こなし\nめーっちゃかっこいいよね！,,摩美々,甘奈に合いそうな\nアイテムもあるけど着るー？,
甘奈,めっちゃ楽しもうね☆,,甜花,うん……めっちゃ……\n楽しむ……！,
甜花,ダンスの確認…\nいち、に…いち、に…,,霧子,確認…\nいち…に…,
千雪,ふふっ\nダーッシュ,,甘奈,甘奈もっ！\nダーッシュ☆,
千雪,届けようね、スマイル！,,甜花,にへへ……\nスマイル……！,
あさひ,果穂ちゃん、\n舞台裏を探検しよう！,,果穂,はい！　あっ…みなさんに \n探検するって言ってから…！,
あさひ,新しい発見、するっす！,,冬優子,いらんこと\nすんじゃないわよ,
冬優子,本番…\nみんなちゃんとできるかな,,樹里,心配しすぎだって\nあいつらなら大丈夫だろ！,
愛依,咲耶ちゃんのキリッって\nカンジ、どうやってんの？,,咲耶,フフ、そうだね……\n今度じっくり教えるよ,
愛依,すー……はー……\nよし……いける……！,,あさひ,わたしもやるっす！\nすー……はー……,
真乃,…す、少し、緊張して\nきちゃったかも…,,灯織,私も…でも、\nきっと大丈夫…！,
真乃,ほわぁ…ふゆちゃんから\nお花のいい香りが…,,冬優子,ふふ、ボディミスト\n真乃ちゃんも付ける？,
灯織,髪、崩れてないかな…,,樹里,ん…大丈夫だ\nそんなに心配すんなって！,
めぐる,オンエア一緒に見たいなー！,,真乃,うんっ\n灯織ちゃんも一緒に…っ,
めぐる,番組終わりに\nアイス食べに行こうよ！,,甜花,う、うん…！\nアイス…一緒…にへへ,
恋鐘,テレビばい、テレビ～！！！,,摩美々,ちょっとー……\nそのテンションで出る気ー？,
恋鐘,これ、長崎でも\n放送されると～？,,咲耶,ああ、そのようだよ,
摩美々,…愛依の髪の毛、ちょっと\nいじらせてくれないー,,愛依,え、マジ！　サンキュー\nバリバリに盛っちゃって～,
咲耶,さて、\n出番のようだよ。結華,,結華,ここからは、\n三峰たちの時間ってね！,
咲耶,フフ、\nやる気満タンなようだね,,夏葉,ええ！\n誰よりも輝いてみせるわ！,
結華,よーし！\n爪痕残しにいきますか！,,摩美々,暑苦しー……でもまぁ、\n頑張らなくもなくもないー,
霧子,電波……,,恋鐘,ばりばり～,
霧子,咲耶さん…… \nふふ……,,咲耶,霧子…フフ,
果穂,共演者さんに\nごあいさつしたいです！,,霧子,ふふ…いっぱい…\nこんにちはしよう…,
果穂,人がたっくさんいます！,,智代子,ほんとだ！\n番組観覧の人だね！,
智代子,チョコ、どのポケットに\n入れとくべきかな…,,樹里,ネタ振られたら\n出すつもりかよ…？,
樹里,あー、緊張してきた！\n凛世はいつも冷静だよな,,凛世,…手を…\n握っていただけますか…,
樹里,夏葉は緊張とか\nしなさそうだよな,,夏葉,鍛えているもの！\n身体も、心もね,
凛世,りんりん…… \n凛世です……,,摩美々,まぁつかみは \nばっちりー,
夏葉,お茶の間に笑顔を\n届けましょう！,,果穂,はいっ！\nジャスティスⅤみたいに…！,
夏葉,ワイプに抜かれるには\n良いリアクションが必要……,,智代子,あれ！？\n何か期待されてる！？,
甘奈,今日お弁当作ってきたのっ\n休憩で一緒に食べよ☆,,恋鐘,うちのもあるけん\n交換～～～！,
甘奈,クイズコーナー、１位だと\nゲームが景品だって☆,,甜花,甜花…本気モード…！,
甜花,え、えと…\n甜花の出番は…えっと…,,摩美々,…………次の次のコーナー…,
千雪,控え室の前で\n一枚撮ろうね,,甘奈,かわいく\nパシャリ☆だね！,
千雪,控え室に\nおにぎりがあったわ,,甜花,にへへ…\nタコさんウインナーも…！,
あさひ,さっき転んだとこ\n赤くなっちゃったっす,,霧子,見せて…\nあさひちゃん…！,
あさひ,あっ！　あの人\nすごい衣装着てるっす！,,冬優子,ダメ！　あの人はダメ！\nシャレにならない大物…！,
冬優子,真乃ちゃんっ！\n一緒に頑張ろうね！,,真乃,ふゆちゃんっ\nうん、一緒に…むんっ,
愛依,わっ！　服に水こぼした！,,甘奈,じっとしててっ！\n拭いてあげるね！,
愛依,あさひちゃん\nあの機材って何に使うの？,,あさひ,乗ったら楽しそうっすね！,
真乃,えっと、人…人…人…\n…はむっ,,灯織,人…人…人…\n…はむっ,
真乃,えっと…写真撮影の前に\n背筋を伸ばして…,,咲耶,もう少しあごを引いて…\nうん、とても可愛らしいよ,
灯織,あさひ…！\nもう始まるから座ってて,,あさひ,面白いもの\n探しに行きたいっす～,
めぐる,気合を入れてー \n……むんっ！,,真乃,むんっ\n…ふふっ,
めぐる,一緒に取材、楽しみだなー！,,夏葉,うふふ、私もよ！,
恋鐘,ん～～～\nなんば聞かれるとかな～？,,摩美々,ふふー\n恋鐘の秘密、大暴露ー,
恋鐘,うちらの特集～～～！？,,結華,重版決定ーーー！！！,
摩美々,ねーねー甘奈ぁ \n今日のネイルなんにしたぁ？,,甘奈,シアーピンクっ\nラメ入りでかわいーの☆,
咲耶,いい記事になるといいね,,恋鐘,うちらの記事なら、\nば～りばりばい！,
咲耶,結華がいるのなら\n何があっても安心だね,,結華,おっとー？　はっちゃける\nつもりなのかなさくやん…？,
結華,長丁場だし、\n頑張りすぎずに頑張ろうね！,,霧子,ふふ…うん…\nちょうど頑張り…♪,
霧子,うんぬん……,,恋鐘,かんぬん～,
霧子,２８３プロの…… \n幽谷霧子です……,,甜花,ま、マル……！ \nかわいい……！,
果穂,記者さんと\nいっぱいお話したいです！,,智代子,うんうん！　楽しい記事、\n書いてもらおうね！,
果穂,あたし、\n変じゃないですかっ！？,,千雪,うん、大丈夫\nお仕事頑張ろうね,
智代子,撮影の裏話とか、一緒に\nツイスタにあげてみない！？,,甘奈,めっちゃいいねっ☆\nおそろい、うれしいなっ,
樹里,色々考えて答えるの\n結構頭使うよなー,,智代子,そういう時にはチョコで\n充電、でどうでしょうか！,
樹里,じゃあ練習な\n──好きな食べ物は？,,凛世,ふふ…\nご存知のはず…,
凛世,打たないシュートは……\n100％外れる……,,夏葉,わかるわ\n打たない確率は0％よ！,
夏葉,果穂の思ったとおりに\n答えれば、大丈夫よ,,果穂,……はいっ！\nがんばります！,
夏葉,インタビューでも\n目指すはトップよ！,,樹里,いや、どうやって順位\nつけるんだよ……,
甘奈,ファッションのこだわりかー\nどんなこと話す？,,甜花,この前…なーちゃんが\n教えてくれたこと…話す…,
甘奈,愛依ちゃん、このポーズ\nどーかなっ☆　えへへっ,,愛依,いいじゃん！\nうちもやるやる～！,
甜花,写真は、決めポーズで…\n…びしっ！,,果穂,あたしもですっ\n…びしっ！！,
千雪,コンパクト\n忘れちゃった……！,,結華,み、三峰の貸す……！？,
千雪,ありのまま、\nいきましょう♪,,甘奈,うんっ\nありのまま、かわいく☆,
あさひ,凛世ちゃんみたいな格好\nしてみたいっす！,,凛世,では…交換…\nいたしましょう…,
あさひ,面白い記事\n書いてもらえるっすかね？,,冬優子,あんたが変なこと\n言わなきゃね,
冬優子,今日は気分がいいから\n頼ってくれてもいいけど？,,愛依,マジ？\nちょー神じゃん～,
愛依,灯織ちゃん…緊張\n解すおまじないってある？,,灯織,掌に人を…いや\n大丈夫って肩を叩いて─,
愛依,どんなこと聞かれっかな～\nムズカシーのはキツイなぁ,,あさひ,ムズカシーって\nどんなことっすか？,
