title,trans
輝きの始まり,Radiance's Beginning
チカチカ、小さく瞬くみたいな,"Flickering, Like A Small Star"
翳る前に、曇る前に,"Before it Glooms, Before it Fades"
もう１度、ここから,"Once Again, From Here"
１番輝く、そのために,"First Shine, For That Reason"
３人だから灯せたもの,The Things 3 People Lit
想いを重ねて、支えを光に,"Put Your Mind Into It, Light Your Support"
illumination STARS,illumination STARS
運命の鍵・プレリュード,"Key of Destiny, Prelude"
走り続けるために,Keep On Running
別腹☆カラオケタイムばい！,Another Dessert☆Double Karaoke Time!
凛と咲く、そのために,"For That Reason, It Bloomed"
you/I/we,you/I/we
心、揃えたいから……,A Heart's Match...
『L’Antica』,"""L'Antica"""
運命の鍵・シンフォニー,"Key of Destiny, Symphony"
特訓！？レッスン合宿は学校で,Special Training!? Lesson Camp At School
SCHOOL COOL SCHOOL,SCHOOL COOL SCHOOL
ちょこ先輩のユウシ,Choco-senpai's Support
白熱★枕投げ大会！！,Excitement★Pillow Fight Competition!!
座禅ってすごいのよ,Zazen's Pretty Amazing
肝試し★６人一緒なら怖くない！,Test Of Courage★Six People Aren't Scared Together!
灯る想いは写真の中に,A Photograph's Feelings
クライマックスは終わらない！,The CLIMAX Isn't Over!
私達の目的地,Our Destination
パールホワイト,Pearl White
天と地、屈折,"Heaven and Earth, Warping"
甜花の敵じゃない,Not a Threat to Tenka
私をもっと知りたくて,Want to Know More About Myself
まごころ・みっつ重ねて,"Sincerity, Threefold"
私達の幸福論,Our Theory of Happiness
花ざかり、これからも。,"Flowers Blooming, From Now On."
夏の依頼は突然に,Sudden Summer Trip
ヤキソバ・プロテイン・藁人形,"Yakisoba, Protein, Straw Doll"
Mission:Break,Mission:Break
放課後、想いは置手紙に込めて,"Afterschool, Put Your Feelings In This Letter"
いつもよりサイコー,Better Than Usual
ハプニングはピーヒョロロ,A Call Is Happening
トリ戻す大作戦！,The Great Bird's Return!
きっと忘れない夏の光,The Unforgettable Sunset
ようこそ L'Antic WORLD,Welcome to L'Antica's WORLD
イタズラ or Trick,Prank Or Trick?
運命の鍵・捜索中……,Searching For The Key To Destiny…
送出大作戦☆君に会えてよかった,Sending Out Strategy☆Glad to Meet You
いらっしゃいませ、いただきます,Welcome And Thank You
絵画迷宮・解き明かさないで,"Painting Labyrinth, Unraveled"
救出大作戦☆信じるのは、君,"Rescue Operation☆Believe In You, Friend"
私の大切な人,My Special Person
パーティー・チューニング,Party Tuning
泥棒！？,A Thief!?
危険なクリスマスイブ,Dangerous Christmas Eve
キラキラノンシュガートラップ,Shiny Non-sugar Trap
この味を飲み干して……,Taste This Drink...
くいあらためてください,Repent Please
観念せよ！トナカイ,An Idea! Reindeer
サンタさんつかまえた,Caught Santa
あたま隠して尻隠さず,Behaving Like an Ostrich
げたと焼き味噌,Geta and Grilled Miso
おにに金棒,Metal Rod to a Demon
めの上のたんこぶ,Thorn in One's Side
こころざしは松の葉,Gift of Pine Needles
とおくの一家より近くの隣,A neighbour rather than faraway kin
よめ遠目笠の内,"In darkness, under a bamboo hat"
ろんご読みの論語知らず,Knowing the Analects but not understanding them
見えない、ヒカリの先,"I Can't See, Beyond The Light"
彼女の輝き,Her Shine
思いがけない到着駅,An Unexpected Arrival Station
彼女のキラメキ,Her Sparkle
ふたりにはあるのに,"The Two of Them Have It, But... "
私の場所,My Place
あのね、あるの、悩み事,"Hey, You Know, I Am Worried About Something"
ヒカリの先,Beyond the Light
魔法のような、恋の香りを,Magical Love Aroma
碧色の妖精は乙女心を揺らす,The Green Fairy Shakes The Maiden's Heart
青磁色の妖精は魔法をかける,The Blue Fairy Casts Her Magic
桃色の妖精は春の風にのって,The Pink Fairy Sails On The Spring Breeze
紫色の妖精は恋の夢を見るか？,Does The Purple Fairy Dream About Love?
妖精たちは遊び好き！,The Fairies Love To Play!
水縹色の妖精は風を歌う,The Light Blue Fairy Sings To The Wind
マジーア・アンティーカ,MAGIA L'Antica
レンジでチン！,Pop in the Microwave!
キラ・キラ・ピク,Sparkling Selfie
だから、エールを,"Therefore, SHOUT"
アンティーカ・ポリシー,L'Antica's Policy
上を見て歩いていれば,Look Above and Walk Along
５つの紋章,The Five Emblems
（再）トレジャーハント,[Another] Treasure Hunt
春色の時間、そして,"The Spring Hour, therefore"
出るんだって、虹,出るんだって、虹
ただのピクニック,ただのピクニック
いつかのピクニックの話,いつかのピクニックの話
サイコロツアー、スタート！,"Dice Tour, Start!"
Keep／Problem／Try,Keep/Problem/Try
甜花は大丈夫,Tenka Will Be Fine
ふたりとひとりの夜,The Night of the Two and the One
大人じゃないんだもん,I'm Not An Adult
『プロブレム』,[Problem]
にっこりまで,Until We Smile
Happy Ending Story,Happy Ending Story
見ない顔ですね,Never Seen You Before
ソノダチヨコです！,It's Chiyoko Sonoda!
理由なんて必要かしら？,Do I Need A Reason?
校内での抗争、乱闘の一切を禁ず,"No Fights Or Protests, Within This School"
自由への導火線,The Plan To Freedom
寒すぎだよ,It's Too Cold
喧嘩するには十分な理由だろ,A Good Reason To Fight
覚悟しろ！,Brace Yourself!
GIRL MEETS,GIRL MEETS
FREEDOM,FREEDOM
ENTER MEI！,ENTER MEI!
SING IT！！,SING IT!!
INVISIBLE,INVISIBLE
FALSE ,FALSE
LIBERTY,LIBERTY
WE WILL,WE WILL
朝の物語,Morning
昼の物語,Daytime
夜の物語,Evening
時の物語,Time
鏡の物語,Mirror
湯の物語,Hot Spring
銀河の冒険,Milky Way Adventure
夏休みの秘密,The Trip's Secret
うさぎがぴょん,"Rabbit Goes ""Boing"""
いっしょにつこう,Let's Get Together
おいしくなあれ,It's Delicious
もうちょっとだね,Just a Bit More
できたよ！,I did it!
いつか、いつかは,Someday
ただいま、おかえり,Welcome Back
はじまり、はじまり,The Beginning
お下がりくださいっ,Please Come Down
キャラメルのバラッド,A Caramel Ballad
ちょっとした荒事,A Bit of a Fight
ラ・ラ・ラ・ミルキィウェイ,La La La Milky Way
ジャストライクキョンシーブルース,Just Like Jiangshi Blues
鳴かないでベイビー,"Don't Cry, Baby"
轟・銀河暴走幸福論,"Roar・Milky Way Runaway's
Theory of Happiness"
ローリンストーンのように,Like A Rolling Stone
秋うららの物語,A Wonderful Autumn Tale
ガクエンサイGOGO！,School Festival GOGO!
Who are you?,Who are you?
みなそこで息を止めて,Hold Your Breath
ううん,"No, it's alright"
invent laughter,invent laughter
魚と虹のワルツを,The Fish and Rainbow Waltz
呼吸のソルフェージュ,Solfège of Breathing
13:15 PM,13:15 PM
13:32 PM,13:32 PM
14:11 PM,14:11 PM
14:48 PM,14:48 PM
15:06 PM,15:06 PM
16:57 PM,16:57 PM
17:46 PM,17:46 PM
added time アマクナイヨル,added time: not an easy night
[behind]283production,[behind]283production
[behind]ichibanboshi,[behind]firststar
[behind]usachiyokame,[behind]usachiyokame
[behind]maria,[behind]maria
[behind]hermes,[behind]hermes
[behind]seishun_jersey,[behind]youthful_jersey
[behind]pi-chan,[behind]pii-chan
[edit],[edit]
拝啓、階段の先の君へ,"Dear You, Atop the Stairs"
温かいうちに,While It's Still Warm
まだ帰りたくない,I Don't Want to Go Home Yet
夜の食堂にて,In the Dining Hall at Night
夕焼け小焼けで,At the Sunset Chime
ファイ、オー！,"Fight, Oh!"
鬼は外、福は内,"Demons Out, Fortunes In"
追伸、写真を添えて送ります,P.S. I've Enclosed a Picture
予感,A Premonition
アプリコット,Apricot
反対ごっこ,The Opposite Game
そして彼女はインターホンを鳴らす,And Then She Rings the Doorbell
ふたつの夜,Two Nights
こわい,I'm Scared
薄桃色にこんがらがって,Tangled Up in Light Pink
エンドロールは流れない,The End Credits Never Roll
泣かない家,A house that doesn't cry
送り出す家,A house that sends us off
もうすぐ帰ります,We'll be back soon
騒がしい家,A noisy house
優しい家,A kind house
からっぽの家,An empty house
もうすぐ帰ります２,We'll be back soon 2
家の物語の話,A tale of a house's story
ハウ・スーン・イズ・ナ→ウ,How Soon Is→Now?
屋上,Rooftop
視界１,View 1
アンプラグド,Unplugged
視界２,View 2
視界３,View 3
海,The Sea
ハング・ザ・ノクチル！,Hang the Noctchill!
ハロウィン・ゴシップ,Halloween Gossip
呼んだんだけど,"I Called for You, But"
図書館ライオット,Library Riot
兼・魔女見習いたち,The Magician's Apprentices
ゴー！本探し,Go! Book Hunt!
コンビニ・キャンディ,Convenience Store Candy
走って！,Run!
次のハロウィンには,On the Next Halloween
流れ星が消えるまでのジャーニー,Journey Until the Shooting Stars Disappear
夜が来るよ、ジュメル,"Night is Coming, Jumelle"
セピアの森でチカチカ光る,The Sepia Forest Twinkles and Glows
ふとなんとなく輪郭に触れ,"Kind of, Sort of, Touch the Outline"
小さな記憶のピルエット,A Little Pirouette in Memory
近くて遠くてピカピカでキラキラ,"Close By, Far Away, Sparkly and Shiny"
とろけるおふとん,Melty Mattress
静かに、夜が逃げないように,"Quietly, so the Night Doesn't Escape"
シャンテ、これからも,"Chanter, From Here On Out"
ノロマたちの午後,Duffers' Evening
タック用意,Ready About
風のない夜,Night Without the Wind
口笛,Whistle
汽水域にて,In Brackish Waters
ココア・説教・ミジンコ,"Cocoa, Lectures, Water Fleas"
あけの星に口づけ,A Kiss to the Morning Star
うみを盗んだやつら,Ones Who Stole the Sea
クイズ・アンティーカ,Quiz L'Antica
知ってるはずだったのになぁ,I Should've Known That
珍しいこと,A Rare Thing
優しくすれ違う,Sweetly Passing By Each Other
あっちこっち,Here and There
言わなきゃわからない,I'll Never Know Unless You Say It
ねぇと呼んだらなぁにと笑って,"When I Say ""Hey"", Smile and Say ""What's Up"""
いつつのままでひとつ,"As Five, As One"
雨の中のあたたかい錆のにおい,The Smell of Rust in the Rain
かわった,Things have Changed
ひとりずつ３人,"3 of Them, One by One"
ダメだった,Screwup
みんな,All of us
のびる、びる,Sky High Building
槌をうつ音がきこえる,Can Hear the Hammers Clanging
さざなみはいつも凡庸な音がする,Ripples Always Sound So Mundane
成長,Growth
遠く遠くまで,"Far, far reaching"
普通,Normal
立っているだけでも,Even if they just stand there
理解,An understanding
かんむり,Cap
結局,In the end
凡庸な音たち,The mundane sounding ones
アウトフォーカス,Out of focus
感光・１,Photosensitivity 1
感光・２,Photosensitivity 2
感光・３,Photosensitivity 3
感光・４,Photosensitivity 4
感光・５,Photosensitivity 5
オートフォーカス,Autofocus
屋上に光,Light on the rooftop
漕ぐ人,People Who Pedal
小さな夜,A Little Night
みんなは頑張っている,Everyone Else is Doing Their Best
車輪,Wheel
3つの夜,Three Nights
みんなが,Everyone Is
きみの座らないたくさんの席,The Many Seats You're Not Sitting On
運ぶ人,People Who Carry
赤い休符,Red Silence
月と鍵盤,Moon and Keyboard
なみまにあい,Love Between the Waves
エンカウンター・グループ,Encounter Group
これは棺に違いない,This Must be a Coffin
協和的不協和,Harmony Dissonance
ライファーズ,Lifers
やつらのゲーム,Their game
鎖状時間,Chained time
ずっと仲良しノクチルとか笑,"noctchill will be like, friends forever lol"
いまはいつなのかっていう,"When is ""now"" then"
熱帯夜,Tropical night
枝状未来,Branching futures
くじらを捕まえろ,Catch the whale
それでもいましか見えないよ,"Still, ""now"" is all that can be seen"
long long ago,long long ago
１日目 午後,Day 1: Afternoon
１日目 夜,Day 1: Night
１日目 夜遅く,Day 1: Late Night
２日目 朝早く,Day 2: Early Morning
２日目 夕方,Day 2: Evening
？日目 ?????????,Day ?: ?????????
snip snap shout,snip snap shout
洗いたての羽,Freshly Washed Feathers
天界の午後,An Afternoon in the Heavens
なにもない日,A Day of Nothing
天使たちのあくび,Angels Yawning
ごくささやかなミサ,A Very Modest Mass
イヴ,Eve
キャロル,Carol
ぼくたちはごみのように美しく,We Are Beautiful Like Garbage
クリームパフェ、ノットミルク,"Cream Parfait, not Milk"
いつものプリン,Everyday Pudding
挑戦,Challenge
