title,trans
アイドルロード,Idol Road 
白いツバサ,White Wing 
２８３プロのヒナ,283Pro Hatchling 
アイドルのたまご,Idol in the Making 
オーバーキャストモノクローム,Overcast Monochrome
サンセットスカイパッセージ,Sunset Sky Passage
ユナイトバースプラネタリ,Uniteverse Planetary
セレスティアルカラーズ,Celestial Colors
フローウィングベル,Flowing Bhelle
リフレジェントプルマージュ,Refulgent Plumage
プライベートドレスダウン,Private Dress-Down
リスペクティブワークスタイル,Respective Workstyle
ドレスアップパルファム,Dress-Up Parfum
エモーショナルユニフォーム,Emotional Uniform
ジャージ,Jersey
スターリー・フューチャーズ,Starry Futures
フリスキーサマー,Frisky Summer
ミッドナイトモンスター,Midnight Monster
空は澄み、今を越えて,"The sky will clear, now and years beyond"
我儘なまま,In my own way
一人分の空、一枚の羽,"One Person's Sky, One Feather"
ナチュラルモード,Natural Mode
ぐうぜんBOOKS,Coincidental BOOKS
しじまに華ひととき,A Moment's Flowers
花結びゆくゆく,Rosette on the Way
ほわっとスマイル,Gentle Smile
はじけてスマイル,Bursting Smile
ソラを跳ね,Splash into the sky
天然色ピクニック,Technicolor Picnic
by to illuminate,by to illuminate
ツバサグラビティ,Tsubasa Gravity
お揃いスナップ,Matching Shots
スプラッシュビート,Splash Beat
冬街イルミネート,Illuminated Winter Streets
プリズムフレア ,Prism Flare
手作りの心遣い,Handmade Consideration
マフラー直して、心は解けて,"Fix Your Scarf, Melt My Heart"
落下予測地点,Estimated Drop Point
柔らかな微笑み,Tender Smile
淡雪の戯れ,Playing with Snowfalls
克服の特訓,Overcoming Special Training
遊び疲れて……,Tired From Playing...
魔法の階段を上って……,Climbing the Magic Staircase...
RPGのススメ,RPG Rally
風野署長の一日勤務回想録,Chief Kazano's One-Day Work Memoir
キネマ・リリックで夢見て,Lyrics Dreamt at the Cinema
小さな夜のトロイメライ,Little Night of Traumerei
チエルアルコは流星の,Ĉielarko's Meteor
金色の元気いっぱいガール,Golden Vivacious Girl
アイムカミングスーン,I'm Coming Soon
スタァライトショウタイム,Starlight Showtime
ばってん長崎恋岬,"Anyhow, Nagasaki Cape o' Love"
は～と♡に火をつけて,Light My Fire
いつか帰りたか場所,The Place I Wanna Return to
と～りゃんせ！,Toryanse!
秋、どがんね～？,"Fall, How've Ya Been?"
にゃんにゃんにゃ～ん♡,Meow Meow Meow〜♡
裏腹あまのじゃく,Contrary Devil
夕つ方まみみチック,Dusk Mamimi-mantic
そのまみみ無気力につき,Regarding Mamimi's Lethargy
irodori-corridor,irodori-corridor
トリッキーナイト,Tricky Night 
摩的・アンチテーゼ,Mamimian Antithesis
パープル・ミラージュ,Purple Mirage
カラフルポップMIX,Colorful Pop MIX
イン・ザ・ピンク,In The Pink
コミケ102,Comiket 102
闇鍋上等,First-Class Potluck Hot Pot
雪染めロマンティカ,Snow-dyed Romantica
紺碧のボーダーライン,Azure Borderline
幸福のリズム,Rhythm of Joy
海と太陽のプロメッサ,Promessa of the Sun and Sea
乙女と交わすTrick,Girl and Her Interlaced Tricks
