text,trans,type
プロデュース開始時にイルミネーションスターズに所属しているサポートアイドルの絆が中アップします,プロデュース開始時にイルミネーションスターズに所属しているサポートアイドルの絆が中アップします,
プロデュース開始時にアンティーカに所属しているサポートアイドルの絆が中アップします,プロデュース開始時にアンティーカに所属しているサポートアイドルの絆が中アップします,
プロデュース開始時に放課後クライマックスガールズに所属しているサポートアイドルの絆が中アップします,プロデュース開始時に放課後クライマックスガールズに所属しているサポートアイドルの絆が中アップします,
プロデュース開始時にアルストロメリアに所属しているサポートアイドルの絆が中アップします,プロデュース開始時にアルストロメリアに所属しているサポートアイドルの絆が中アップします,
プロデュース開始時にストレイライトに所属しているサポートアイドルの絆が中アップします,プロデュース開始時にストレイライトに所属しているサポートアイドルの絆が中アップします,
アルストロメリアのタオル,アルストロメリアのタオル,
アルストロメリアに所属しているサポートアイドルの絆が中アップします,アルストロメリアに所属しているサポートアイドルの絆が中アップします,
イルミネーションスターズのタオル,イルミネーションスターズのタオル,
イルミネーションスターズ\nのタオル,イルミネーションスターズ\nのタオル,
イルミネーションスターズに所属しているサポートアイドルの絆が中アップします,イルミネーションスターズに所属しているサポートアイドルの絆が中アップします,
アンティーカのタオル,アンティーカのタオル,
アンティーカに所属しているサポートアイドルの絆が中アップします,アンティーカに所属しているサポートアイドルの絆が中アップします,
放課後クライマックスガールズのタオル,放課後クライマックスガールズのタオル,
放課後クライマックス\nガールズのタオル,放課後クライマックス\nガールズのタオル,
放課後クライマックスガールズに所属しているサポートアイドルの絆が中アップします,放課後クライマックスガールズに所属しているサポートアイドルの絆が中アップします,
ストレイライトのタオル,ストレイライトのタオル,
ストレイライトに所属しているサポートアイドルの絆が中アップします,ストレイライトに所属しているサポートアイドルの絆が中アップします,
ヒーリングフルーツタルト(2個入り),ヒーリングフルーツタルト(2個入り),
ヒーリングフルーツタルト\n(2個入り),ヒーリングフルーツタルト\n(2個入り),
ヒーリングフルーツタルト(3個入り),ヒーリングフルーツタルト(3個入り),
ヒーリングフルーツタルト（2個入り）,ヒーリングフルーツタルト（2個入り）,
使用時プロデュースアイドルの体力が中回復します(プロデュース中2回まで使用可能),使用時プロデュースアイドルの体力が中回復します(プロデュース中2回まで使用可能),
流行雑誌,流行雑誌,
流行雑誌(2冊入り),流行雑誌(2冊入り),
使用時流行全てをランダムで変更します,使用時流行全てをランダムで変更します,
使用時流行全てをランダムで変更します(プロデュース中2回まで使用可能),使用時流行全てをランダムで変更します(プロデュース中2回まで使用可能),
予定変更付箋,予定変更付箋,
予定変更付箋(2個入り),予定変更付箋(2個入り),
使用時サポートアイドルの配置をランダムで変更します,使用時サポートアイドルの配置をランダムで変更します,
使用時サポートアイドルの配置をランダムで変更します(プロデュース中2回まで使用可能),使用時サポートアイドルの配置をランダムで変更します(プロデュース中2回まで使用可能),
約束のトワレ,約束のトワレ,
プロデュース中の約束発生率を中アップします(効果量は約束発生毎に減少し4回で効果がなくなる),プロデュース中の約束発生率を中アップします(効果量は約束発生毎に減少し4回で効果がなくなる),
SSR確定ガシャチケット,SSR確定ガシャチケット,
SSR確定ガシャが引けるチケットです,SSR確定ガシャが引けるチケットです,
リカバリーソーダ1/2,リカバリーソーダ1/2,
スタミナが最大量の1/2回復します,スタミナが最大量の1/2回復します,
リカバリーソーダ1/4,リカバリーソーダ1/4,
スタミナが最大量の1/4回復します,スタミナが最大量の1/4回復します,
フェスエントリーチケット,フェスエントリーチケット,
フェス参加権が回復します,フェス参加権が回復します,
ゴールドトレーニングチケット,ゴールドトレーニングチケット,
プラチナトレーニングチケット,プラチナトレーニングチケット,
サポートアイドルのトレーニングに必要なチケットです,サポートアイドルのトレーニングに必要なチケットです,
シルバートレーニングチケット,シルバートレーニングチケット,
ブロンズトレーニングチケット,ブロンズトレーニングチケット,
イルミネーションスターズのキーホルダー,イルミネーションスターズのキーホルダー,
イルミネーションスターズ\nのキーホルダー,イルミネーションスターズ\nのキーホルダー,
イルミネーションスターズに所属しているサポートアイドルの絆が小アップします,イルミネーションスターズに所属しているサポートアイドルの絆が小アップします,
アンティーカの\nキーホルダー,アンティーカの\nキーホルダー,
アンティーカのキーホルダー,アンティーカのキーホルダー,
アンティーカに所属しているサポートアイドルの絆が小アップします,アンティーカに所属しているサポートアイドルの絆が小アップします,
放課後クライマックス\nガールズのキーホルダー,放課後クライマックス\nガールズのキーホルダー,
放課後クライマックスガールズのキーホルダー,放課後クライマックスガールズのキーホルダー,
