ja,en
この前の新曲、まだ音がつかみきれてないんです\r\n……思った音が出ないというか……,"I still haven't gotten a grasp on the new song recently...
I can't get it to sound the way I want..."
ボーカルレッスンをお願いしたいんですが……\r\n今週、お願いできますか？,"I want to ask for a vocal lesson, but...
Can we do it this week?"
そうですか\r\n残念ですが、仕方ないですね,"I see. That's unfortunate, but it can't be helped."
この間教えていただいた発声法、試してみました。,I tried out the vocal technique you taught me recently.
いつも以上に成長できたんじゃないかな、と……\r\n自分でも、思います,"It seems like maybe I've grown more than usual...
Even I think so too."
音楽はいくらでも再生できますし、\r\nカラオケに行けば自主トレもできます,"Music can be played as many times as you want,
and I can do self practice during karaoke."
また、レッスン場が使えそうだったら……\r\n教えてくださいね,"If it seems like you can use the lesson area again...
Please let me know."
すみません、プロデューサー\r\nせっかく予定を調整していただいたのに、私……,"I'm sorry, Producer.
Even though you already had plans, I..."
……落ち込んでいても仕方ないですね\r\n挽回できるように、頑張ります,"...Feeling down won't do anything.
I'll do my best to recover."
動きのキレがちょっと足りない気がするんです\r\n鏡の前で動きを追求したいんですが……,"I feel like my movement is lacking a bit.
I want to improve it in front of the mirror, but..."
ダンスレッスンをお願いしたいです\r\n今週、お願いできませんか？,"I would like a dance lesson.
Could we do it this week?"
今日はありがとうございました、プロデューサー\r\nとても気付きの多いレッスンでした,"Thank you for your work today, Producer.
I realized a lot during this lesson."
ずっとひとりで練習を続けていたので……\r\n鏡を見ながら動きが確認できて嬉しかったです,"I kept practicing by myself...
I was glad I was able to confirm my movement
while looking at the mirror."
……予約がいっぱいで使えるレッスン場がない、ですか\r\nちょっと残念です,"...The schedule is too full to use the lesson area?
That's too bad."
当分の間は、今まで通り公園で練習しておきますね\r\nレッスン場の予約が空いたら、また教えてください,"For now I will continue to keep practicing at the
park. Let me know when the lesson area has
openings again."
お化粧のこと、普段から勉強はしているんですが\r\nまだまだわからないことも多くて……,"I've been studying about makeup,
but there are still many things I don't know..."
今週、ビジュアルレッスンお願いできませんか？,Could we do a visual lesson this week?
お化粧１つで印象がガラリと変わるんだって……\r\n当たり前のことですが、今日改めてそう思いました,"With just one cosmetic, your appearance can
change completely... It's obvious, but I was reminded
of that today."
前よりも自信をもって、撮影に挑めそうです,"I feel like I have more confidence than before and can
challenge a photoshoot."
レッスンに充てる時間がない、ですか……\r\nそれじゃ仕方ないですね……,"So there's no time to set aside for lessons...
I guess it can't be helped..."
少し経っても、まだモヤモヤがとれないままだったら\r\n改めて、レッスンをお願いしようと思います,"If I still feel like I can't get rid of this fog later,
I think I'll ask for a lesson again."
本当に申し訳ないんですが……\r\nここのところ体調がどうもよくなくて,"I'm truly sorry, but...
Lately, my health hasn't been good."
今週、お休みをいただいてもいいですか？,Is it okay if I take a break this week?
忙しい中、お休みをとっていただき\r\nありがとうございます,"Thank you very much for letting me take a break
while we are busy."
また明日から、しっかりと頑張ろうと思います,I'll do my best properly again starting tomorrow.
予定が予定がつまってるのに、休めないですよね\r\n私もプロ、ですから……,"Even though the schedule is so full, I can't rest.
I'm a pro after all..."
仕事に穴をあけるわけにもいきませんしね\r\n気を引き締めて、前に進もうと思います,"I can't leave a hole open in work either
I'll brace myself and keep moving onward."
ボーカルレッスンをお願いしたいんですが……\r\n一週間後にお願いできますか？,"I would like a vocal lesson, but...
Could we do it one week from now?"
ダンスレッスンをお願いしたいです\r\n一週間後にお願いできませんか？,"I would like a dance lesson.
Could we do it one week from now?"
一週間後にビジュアルレッスンお願いできませんか？,Could I have a visual lesson one week from now?
一週間後にお休みをいただいてもいいですか？,Is it okay if I take a break one week from now?
ボーカルレッスンをお願いしたいんですが……\r\n二週間後にお願いできますか？,"I would like a vocal lesson, but...
Could we do it two weeks from now?"
ダンスレッスンをお願いしたいです\r\n二週間後にお願いできませんか？,"I would like a dance lesson.
Could we do it two weeks from now?"
二週間後にビジュアルレッスンお願いできませんか？,Could I have a visual lesson two weeks from now?
二週間後にお休みをいただいてもいいですか？,Is it okay if I take a break two weeks from now?
あのねプロデューサー、今練習してる曲、難しくて……\r\nちゃんと合わせられてない気がするんだよね……,"Umm... Producer, the song I was going to practice...
I don't think I'll be able to do it easily."
だからボーカルレッスンしたいんだけど、\r\n今週って予定取れそうかな？,"I'd like to have a vocal lesson, could you schedule it
this week?"
えへへ、ありがとう！\r\n約束だからね、プロデューサー！,"Eheheh, thanks! Keep my promise, Producer!"
え、だめ？\r\n……そっか、わかったよ。急にごめんね！,"Eh, I can't?
...I see, got it. Sorry, gotta run!"
約束覚えててくれてありがとう！\r\nボーカルレッスン、楽しかったよー！,"Thanks for keeping our promise, Producer!
The vocal lesson was very fun!"
これでちゃんと歌えるようになったと思うし、\r\n次聴くとき、楽しみにしててねっ,"I think I can sing a lot more properly now!
Look forward to my singing, okay?"
ちょっと、プロデューサー！　約束忘れてたでしょー\r\n次はちゃんと守ってね,"Hey, Producer! You forgot our promise...
Remember next time, okay?"
うーん、ちょっと上手くいかなかったな\r\nごめんね、せっかく約束守ってくれたのに……,Ah... It didn't turn out well... Sorry for the troubles...
次はもっと頑張るから、またよろしくね、\r\nプロデューサー！,"I'll make sure to do my best next time, Producer!"
プロデューサー！\r\n新しくやった振り付け、とことんまで練習したいんだ！,"Producer! I really wanna practice the new
choreography!"
今週にダンスレッスンってできそう！？\r\nビシッと踊れるようにしちゃいたいの！,"Can I have a dance lesson this week!?
I wanna be able to dance a bit more!"
はぁ踊ったー！\r\n体動かすのってやっぱり気持ちいい！,Haa... I did it! It feels good moving my body around!
プロデューサーが約束守ってくれたおかげで\r\n振り付けも完璧だよ！　ありがとう！,"Thanks for keeping our promise, the choreography
came out perfectly!"
ダンスレッスンしたかったのに……\r\n次は忘れないでね？　プロデューサー,"I wanted to do the dance lesson...
Producer, don't forget next time, okay?"
もっとしっかりお化粧の勉強がしたいんだよね！\r\nまだまだ知らないこといっぱいあるから！,"I wanna learn more about makeup!
There's still more for me to know!"
今週とかにビジュアルレッスンしても\r\n大丈夫かなぁ？,Would it be okay to have a visual lesson this week?
プロデューサー、見て見て！\r\nビジュアルレッスンの成果、どうかな！？,"Producer, look! How's the result of my visual lesson!?"
約束守ってもらえたから、\r\nレッスンも頑張っちゃったよ！,"Thanks for keeping our promise, I really did my best
on the lesson!"
もう！　プロデューサーったら約束忘れてるー！\r\n今度は守ってよー？,"Agh, Producer! You forgot our promise!
Remember next time, okay?"
プロデューサー、ちょっとお願いがあるんだけど……\r\n今週に友達と予定を入れたいんだ,"Producer, I want to ask something...
I'm having a meeting with a friend this week."
お休み、もらっちゃダメかな？,Would it be okay if I take a week off?
お休みくれてありがとう、プロデューサー！\r\nたくさん友達と遊べて楽しかったよ～,"Thanks for letting me take a break, Producer!
Me and my friend had so much fun～"
今度はプロデューサーとも遊びに行きたいな！,"Let's play together next time, Producer!"
友達と会う予定だったのに……\r\n悪いことしちゃったな,"I was planning to have the meeting...
Maybe I've done something bad?"
だからボーカルレッスンしたいんだけど、\r\n一週間後って予定取れそうかな？,"I'd like to have a vocal lesson, could you schedule it
next week?"
一週間後にダンスレッスンってできそう！？\r\nビシッと踊れるようにしちゃいたいの！,"Can I have a dance lesson next week!?
I wanna be able to dance a bit more!"
一週間後とかにビジュアルレッスンしても\r\n大丈夫かなぁ？,Would it be okay to have a visual lesson next week?
プロデューサー、ちょっとお願いがあるんだけど……\r\n一週間後に友達と予定を入れたいんだ,"Producer, I want to ask something...
I'm having a meeting with a friend next week."
だからボーカルレッスンしたいんだけど、\r\n二週間後って予定取れそうかな？,"I'd like to have a vocal lesson, could you schedule it in
two weeks from now?"
二週間後にダンスレッスンってできそう！？\r\nビシッと踊れるようにしちゃいたいの！,"Can I have a dance lesson in two weeks!?
I wanna be able to dance just a bit more!"
二週間後とかにビジュアルレッスンしても\r\n大丈夫かなぁ？,"Would it be okay to have a visual lesson in two weeks
from now?"
プロデューサー、ちょっとお願いがあるんだけど……\r\n二週間後に友達と予定を入れたいんだ,"Producer, I want to ask something...
I'm having a meeting with a friend in two weeks
from now."
うち、もっともっと歌が上手になりたか！,I wanna get even better at singin'!
今週にみっちりボーカルレッスンしたいけん\r\nプロデューサー、場所とってくれんね？,"I'd like sum' vocal lessons for this week.
Producer, can ya do that for me?"
さすがプロデューサー！\r\nありがとーね！,"Awesome, Producer!
Thank ya so much!"
そっか……いや、気にせんとって！,"That sucks... Well, no need to worry!"
うち、また歌が上手くなったような気がするたい！,I feel I'm gonna keep improvin' my singin' more!
みっちりレッスンした甲斐があったわー\r\nまたよろしゅうね、プロデューサー！,"That lesson was totally worth it!
Please help me out again, Producer!"
うち、自分でもレッスンせんとと思って\r\nカラオケいってきたばい,"I thought I'd make my own lesson, so I went ta
karaoke!"
けど、レッスン場とはやっぱり勝手が違うけん……\r\n次はちゃんと練習したかー,"But the lesson room sure is different than going by
myself... I wanna practice hard next time──"
うちのわがままで調整してくれたんに……,Can ya try to adjust the schedule just for me next time...
申し訳なか～……\r\nうち、上手くできんかった……,"Sorry for that～...
I feel like I can't improve further..."
うち、踊りは得意なんやけど\r\n練習してて必ず上手くできんところがあるんよー,"Dancin's my specialty but ya can never have enough
practice, yeah!"
プロデューサー、今週にダンスレッスンしたいばい！\r\nうち、もっと上手に踊りたかー,"Producer, I wanna have dance lessons this week!
I wanna get better with my dancing～"
ん～！ 調子が出すぎて踊り過ぎたばい！,"Mhm～! I'm feelin' so energetic I could dance
the night away!"
今日はばり良かダンスレッスンができたとよ～\r\n次も頑張るけんね！ プロデューサー！,"I'm glad I could have an awesome dance lesson today～
I'll keep workin' hard! Producer!"
あー、ダンスレッスン場とれんかったんかー,"Awh, we couldn't get the dance lesson room──?"
ならしょうがないばい！\r\nまた別ん日にすればよかよー,"Well then it couldn't be helped!
Guess we'll try again another day!"
うちの魅力をもっと磨くばい！\r\nそんためには、お化粧のレッスンが必要なんよー,"I gotta refine my charm!
If I want to do that, I'll need ta have a makeup lesson!"
今週、ビジュアルレッスンしたいばってん\r\nプロデューサー、付きおうてくれんね？,"I wanna have some visual lessons this week!
Producer, can ya help me with that?"
んふふー、うち、ますます綺麗になった気がするたい,Teeheehee～ I can feel myself gettin' even prettier!
プロデューサーがきてくれて気合が入ったけん、\r\nありがとーね！,"I got fired up when ya showed up Producer, so
thanks, yeah!"
そっか……\r\nまあ、お化粧の練習はどこでもできるけんね,"Gotcha... well, guess I can practice makeup anywhere."
また、今度、よろしゅう頼むばい！,"Next time then, please consider my request!"
ふぅー、なんかいつもの調子がでんばい……,"Huuuuー, I'm not feeling like my usual self..."
プロデューサー、少しだけ休みたいんやけど……\r\n今週って空けられんと……？,"Producer, I really wanna have some rest...
Could ya please place it in my schedule for this week?"
ん～！　スッキリしたばいー\r\nこれでまたアイドル活動に集中できるとよ！,"Hm～! It's gonna be nice──
Then I can really focus on my idol activities!"
ばっちり元気になったし\r\n休んだ分、もっと頑張るけんね！,"I'm feelin' right as rain!
I'll do my best to make up fer more than I took off!"
いやー、気にしてなかよ。うちもアイドルやけん\r\n忙しいのは良かことばいー,"Naw, don't worry 'bout it. I'm an idol too, so I'm 'kay
if it's too busy."
ばってん、たまにはゆっくりできる時間も欲しいけん\r\n次はよろしゅうねー,"However, I do want sum time to relax!
Maybe next time──"
一週間後にみっちりボーカルレッスンしたいけん\r\nプロデューサー、場所とってくれんね？,"I'd like sum' vocal lessons next week!
Producer, can ya do that for me?"
プロデューサー、一週間後にダンスレッスンしたいばい！\r\nうち、もっと上手に踊りたかー,"Producer, I wanna have dance lessons next week!
I wanna get better with my dancin'～"
一週間後、ビジュアルレッスンしたいばってん\r\nプロデューサー、付きおうてくれんね？,"I wanna have some visual lessons next week!
Producer, can ya help me with that?"
プロデューサー、少しだけ休みたいんやけど……\r\n一週間後って空けられんと……？,"Producer, I really wanna have some rest...
Could ya please place it in my schedule for next
week?"
二週間後にみっちりボーカルレッスンしたいけん\r\nプロデューサー、場所とってくれんね？,"I'd like sum' vocal lessons two weeks from now!
Producer, can ya do that for me?"
プロデューサー、二週間後にダンスレッスンしたいばい！\r\nうち、もっと上手に踊りたかー,"Producer, I wanna have dance lessons two weeks
from now! I wanna get better with my dancin'～"
二週間後、ビジュアルレッスンしたいばってん\r\nプロデューサー、付きおうてくれんね？,"I wanna have some visual lessons in two weeks!
Producer, can ya help me with that?"
プロデューサー、少しだけ休みたいんやけど……\r\n二週間後って空けられんと……？,"Producer, I really wanna have some rest...
Could ya please place it in my schedule two weeks
from now?"
プロデューサー、私ー珍しくやる気が出てるかもー\r\nたまには大声を出してもいいかなぁってー,"Producer, I'm unusually motivated today.
I'm thinking that shouting out loud could be
nice sometimes～"
今週ボーカルレッスンとか、どうですかぁ？,So how about some vocal lessons this week?
ふふー、プロデューサーは優しいですねー,Fufu～ Producer sure is gracious.
えー、プロデューサーはまみみのお願い、\r\n聞いてくれないんだー……,"Ehhh, Producer, you won't listen to Mamimi's request...?"
