id,name,text,trans
1004003070030,恋鐘,"──今日は、ありがとうね
プロデューサー","──Thank you for today, Producer. "
1004003070040,恋鐘,"うち、もっともっと練習して
いつか絶対アイドルの１番になるけん","I'm gonna practice more n' more, 
n' I'll definitely be the number one idol someday. "
1004003070050,恋鐘,"『あっという間に』──……ってわけには
いかんかったけど","It didn't happen 'in no time', but......"
1004003070060,恋鐘,"みんなが誇れるような、
ちゃんとした『アイドル』になるとよ","I'll become a proper idol 
that everyone can be proud of. "
1004003070070,恋鐘,"……やけん、
ぜーんぶうちに、まかせとってね","......So, you can leave it all to me!"
info,produce_events/1004003072.json,
Translator,laynie,
