id,name,text,trans
5001001000220010,真乃,……落ちてしまいました,...I failed.
0000000000000,プロデューサー,"今回は思ってた以上に
厳しい戦いになってしまったな……",This time the competition turned out to be fiercer than I expected...
5001001000220020,真乃,"プロデューサーさんやファンのみなさんが
応援してくれてるのに……申し訳ないです","You and all of my fans were rooting for me, but I couldn't do it... I'm sorry."
5001001000220030,真乃,"……他のオーディション参加者さんたちも、
すごく真剣でした","...The other participants were really serious about winning, just like us."
0000000000000,プロデューサー,これからの戦いも、ますます厳しくなるな,Yeah. The battles you'll be facing from now on will continue to get tougher.
5001001000220040,真乃,"私、支えてくれている人たちのためにも、
次こそオーディションに受かりたいです","I have to pass the next audition. Not just for myself, but also for the people supporting me."
5001001000220050,真乃,"だから、私に色々教えてくださいね
プロデューサーさん！","So please teach me whatever you can, Producer-san!"
info,produce_communication_auditions/500100100022.json,
Translator,Pluie,
