id,name,text,trans
0000000000000,プロデューサー,"灯織、ケーキがあるんだが、一緒に食べないか？
ホワイトデーのお返しだ","Hiori, I have some cake, do you want to eat it together? It's in return for White Day."
4901009040010,灯織,"えっ！　すみません、お気遣いいただいて……
お返しのためとかではなかったのに……",Huh! I'm sorry for making you concerned... I wasn't expecting anything back...
0000000000000,プロデューサー,"灯織の気持ちが嬉しかったからさ、そのお礼
だから、受け取ってもらえると嬉しいな","I was happy about your feeling, so I wanted to thank you. I'd be glad if you accepted it."
4901009040020,灯織,"じゃあ……遠慮なくいただきますね
ありがとうございます、プロデューサー","Then... I'll have some. Thank you very much, Producer."
0000000000000,プロデューサー,"おう
好きな方を選んでくれ","Oh, choose what you like."
4901009040030,灯織,……えっ,...Huh?
4901009040040,灯織,"ぷ、プロデューサー
このケーキ、おやつにするには高級すぎませんか？","P-producer, isn't this cake too expensive to use as a snack?"
4901009040050,灯織,"それに、私が差し上げたチョコ、本当に簡単なもので……！
全然見合わないのに……！","Besides, the chocolate I gave was really simple...! It doesn't compare at all...!"
0000000000000,プロデューサー,"そんなことないよ、灯織がくれたってことが大事なんだ
だから、遠慮しないでくれ","That's not true, it's important that you gave some. So please go ahead."
4901009040060,灯織,"その……ありがとうございます、プロデューサー
コーヒー、ふたり分淹れてきますね","Um... Thank you very much, Producer. I'll brew coffee for both of us."
info,special_communications/490100904.json,
译者,,
