text,trans,type
使用時プロデュースアイドルの体力が大回復します(プロデュース中3回まで使用可能),When activated it will greatly increase your Produce Idol's Stamina (usable up to 3 times during Produce),
高級ヒーリングフルーツタルト(3個入り),High Class Healing Fruit Tart (3 included),
プロデュース中の失敗＆大失敗で発生するデメリットを3回無効にします【ファン感謝祭編：失敗＆大失敗発生時にもアイデアが埋まります】,"Will prevent disadvantages from Failure & Catastrophe during Produce up to 3 times【During Thanks Flapping Day: When a Failure & Catastrophe occurs, you will still get Ideas】",
使用時流行1位をVocalに変更し、2位3位はランダムで変更します,"When activated the #1 trend will switch to Vocal, #2 and #3 will switch randomly",
Vocal流行雑誌,Vocal Fashion Magazine,
使用時流行1位をDanceに変更し、2位3位はランダムで変更します,"When activated the #1 trend will switch to Dance, #2 and #3 will switch randomly",
Dance流行雑誌,Dance Fashion Magazine,
使用時流行1位をVisualに変更し、2位3位はランダムで変更します,"When activated the #1 trend will switch to Visual, #2 and #3 will switch randomly",
Visual流行雑誌,Visual Fashion Magazine,
対象のアイドルを選んで獲得できるチケットです,You can acquire the selected idol with this ticket,
使用時プロデュースアイドルの体力が中回復します（プロデュース中2回まで使用可能）,When activated it will somewhat increase your Produce Idol's Stamina (usable up to 2 times during Produce),
プチテンションアロマ（3個入り）,Small Tension Aroma (3 included),
使用時プロデュースアイドルのテンションが小アップします（プロデュース中3回まで使用可能）,When activated it will increase your Produce Idol's Tension slightly (usable up to 3 times during Produce),
トラブル守り（2個入り）,Trouble Charm (2 included),
ヒーリングタルト\n(2個入り),Healing Tart\n(2 included),
ヒーリングタルト\n(3個入り),Healing Tart\n(3 included),
イルミネーションスターズ\nのキーホルダー,illumination STARS\nKeychain,
アンティーカの\nキーホルダー,L'Antica\nKeychain,
放課後クライマックス\nガールズのキーホルダー,Houkago Climax\n Girls Keychain,
アルストロメリアの\nキーホルダー,ALSTROEMERIA\nKeychain,
ストレイライトの\nキーホルダー,Straylight\nKeychain,
イルミネーションスターズ\nのタオル,illumination STARS\nTowel,
放課後クライマックス\nガールズのタオル,Houkago Climax\n Girls Towel,
ヒーリングフルーツタルト\n(2個入り),Healing Fruit Tart\n(2 included),
プチテンションアロマ\n(2個入り),Small Tension Aroma\n(2 included),
テンションアロマ\n(2個入り),Tension Aroma\n(2 included),
イベントコミュ 第1話,Event Commu Chapter 1,
高級な取材手帳,Reporter's Luxury Notebook,
最終シーズンの残り３週までの間にランダムなタイミングで「記者登場イベント」が必ず発生します,Guarantees that a reporter will appear at a random timing no later than three weeks before the end of the final season,
敏腕記者の名刺,Competent Reporter's Business Card,
「記者登場イベント」が発生した時、取材内容の選択肢に関わらず「敏腕記者」が必ず登場します,"Whenever a reporter appears they are guaranteed to be a competent reporter, regardless of the subject you select",
はづきさんへの差し入れ,Treats for Hazuki,
親愛のお守り,Affection Charm,
最終シーズンの残り1週までの間に必ず1度「朝コミュ」が起こり、最初に「朝コミュ」か「約束」で親愛度が上昇した時「親愛度急上昇イベント」が必ず発生します,Guarantees a max affection event on the first morning commu or promise. At least 1 morning commu will occur before the end of the final season.,
SSR特訓はづきさん,SSR Evolve Hazuki,
SR特訓はづきさん,SR Evolve Hazuki,
SSR特訓はづきさん\n（サポート）,SSR Evolve Hazuki (Support),
SSR特訓はづきさん\n（プロデュース）,SSR Evolve Hazuki (Produce),
SR特訓はづきさん\n（プロデュース）,SR Evolve Hazuki (Produce),
SR特訓はづきさん\n（サポート）,SR Evolve Hazuki (Support),
サポートアイドルのトレーニングに必要なチケットです\n【Exp:50】,A ticket required for support idol training\n【Exp:50】,
サポートアイドルのトレーニングに必要なチケットです\n【Exp:250】,A ticket required for support idol training\n【Exp:250】,
サポートアイドルのトレーニングに必要なチケットです\n【Exp:1000】,A ticket required for support idol training\n【Exp:1000】,
サポートアイドルのトレーニングに必要なチケットです\n【Exp:3000】,A ticket required for support idol training\n【Exp:3000】,
プロデュース中の失敗＆大失敗で発生するデメリットを1回無効にします【ファン感謝祭編：失敗＆大失敗発生時にもアイデアが埋まります】,Negates the disadvantages caused by failures and catastrophes [TFD: Ideas are filled even when failures and catastrophes occur],
プロデュース中の失敗＆大失敗で発生するデメリットを2回無効にします【ファン感謝祭編：失敗＆大失敗発生時にもアイデアが埋まります】,Negates the disadvantages caused by failures and catastrophes [TFD: Ideas are filled even when failures and catastrophes occur],
プロデュース開始時に親愛度+5、約束発生率を小アップします(効果量は約束発生毎に減少し4回で効果がなくなる),"Start production with +5 Bond, and slightly increases promise chance (decreases each time a promise occurs, up to four times)",
最終シーズンの残り４週までの間にランダムなタイミングで「はづきさんアシストイベント」が必ず発生します,"""Hazuki-san Assist Event"" will always occur randomly before the last 4 weeks of the final season",
プロデュース開始時にイルミネーションスターズに所属しているサポートアイドルの絆が中アップします,Moderately increases Illumination STARS Support Idol's bond points at the start of production,
プロデュース開始時にアンティーカに所属しているサポートアイドルの絆が中アップします,Moderately increases L'Antica Support Idol's bond points at the start of production,
プロデュース開始時に放課後クライマックスガールズに所属しているサポートアイドルの絆が中アップします,Moderately increases Houkago Climax Girls Support Idol's bond points at the start of production,
プロデュース開始時にアルストロメリアに所属しているサポートアイドルの絆が中アップします,Moderately increases Alstroemeria Support Idol's bond points at the start of production,
プロデュース開始時にストレイライトに所属しているサポートアイドルの絆が中アップします,Moderately increases Straylight Support Idol's bond points at the start of production,
アルストロメリアのタオル,Alstroemeria Towel,
アルストロメリアに所属しているサポートアイドルの絆が中アップします,Moderately increases Alstroemeria Support Idol's bond points,
イルミネーションスターズのタオル,illumination STARS Towel,
イルミネーションスターズに所属しているサポートアイドルの絆が中アップします,Moderately increases Illumination STARS Support Idol's bond points,
アンティーカのタオル,L'Antica Towel,
アンティーカに所属しているサポートアイドルの絆が中アップします,Moderately increases L'Antica Support Idol's bond points,
放課後クライマックスガールズのタオル,Houkago Climax Girls Towel,
放課後クライマックスガールズに所属しているサポートアイドルの絆が中アップします,Moderately increases Houkago Climax Girls Support Idol's bond point,
ストレイライトのタオル,Straylight Towel,
ストレイライトに所属しているサポートアイドルの絆が中アップします,Moderately increases Straylight Support Idol's bond point,
ヒーリングフルーツタルト(2個入り),Healing Fruit Tart (2 included),
ヒーリングフルーツタルト(3個入り),Healing Fruit Tart (3 included),
ヒーリングフルーツタルト（2個入り）,Healing Fruit Tart  (2 included),
使用時プロデュースアイドルの体力が中回復します(プロデュース中2回まで使用可能),When activated it will somewhat increase your Produce Idol's Stamina (usable up to 2 times during Produce),
流行雑誌,Trend Magazine,
流行雑誌(2冊入り),Trend Magazine (2 Copies),
使用時流行全てをランダムで変更します,Randomly change all trends when used,
使用時流行全てをランダムで変更します(プロデュース中2回まで使用可能),Randomly change all trends when used (Can use 2 times in a Produce Run),
予定変更付箋,Schedule Change Sticky Note,
予定変更付箋(2個入り),Schedule Change Sticky Note (2 Copies),
使用時サポートアイドルの配置をランダムで変更します,Randomly change the location of all Support Idols when used,
使用時サポートアイドルの配置をランダムで変更します(プロデュース中2回まで使用可能),Randomly change the location of all Support Idols when used (Can use 2 times in a Produce Run),
約束のトワレ,Promise Toilette,
プロデュース中の約束発生率を中アップします(効果量は約束発生毎に減少し4回で効果がなくなる),"Increases promise chance during a run to medium (decreases each time a promise occurs, up to four times)",
SSR確定ガシャチケット,SSR Guaranteed Gacha Ticket,
SSR確定ガシャが引けるチケットです,This ticket can be used to pull a guaranteed SSR card,
リカバリーソーダ1/2,Recovery Soda 1/2,
スタミナが最大量の1/2回復します,Recover 1/2 of maximum stamina amount,
リカバリーソーダ1/4,Recovery Soda 1/4,
スタミナが最大量の1/4回復します,Recover 1/4 of maximum stamina amount,
フェスエントリーチケット,Fes Entry Ticket,
フェス参加権が回復します,Restores one Fes entry point,
ゴールドトレーニングチケット,Gold training ticket,
プラチナトレーニングチケット,Platinum training ticket,
サポートアイドルのトレーニングに必要なチケットです,Ticket required to train Support Idols,
シルバートレーニングチケット,Silver training ticket,
ブロンズトレーニングチケット,Bronze training ticket,
