ja,zh
サポートアイドルをトレーニングしよう,Train a Support Idol
フェスをプレイしよう,Play Fes
ブロンズトレーニングチケット,Bronze Training Ticket
サポートアイドルのトレーニングに必要なチケットです,Ticket Required for Training Support Idols
フェスを2回プレイしよう,Play Fes 2 Times
シルバートレーニングチケット,Silver Training Ticket
デイリーミッションを全てクリアしよう,Clear All Daily Missions
フェスを5回プレイしよう,Play Fes 5 Times
ゴールドトレーニングチケット,Gold Training Ticket
フェスを15回プレイしよう,Play Fes 15 Times
フェスで勝利しよう,Win Fes
ウィークリーミッションを全てクリアしよう,Clear All Weekly Missions
フェスアイドルを誕生させよう,Create a Fes Idol
フェスアイドルを3人誕生させよう,Create 3 Fes Idols
フェスに参加しよう,Join a Fes
【は～と♡に火をつけて】月岡 恋鐘,【は～と♡に火をつけて】月岡 恋鐘
フェスに3回参加しよう,Join Fes 3 Times
フェスに5回参加しよう,Join Fes 5 Times
フェスに10回参加しよう,Join Fes 10 Times
フェスリハーサルに参加して、リンクアピールを達成しよう,フェスリハーサルに参加して、リンクアピールを達成しよう
「リンクアピール」：条件を満たすことで発動できる特別なスキル,「リンクアピール」：条件を満たすことで発動できる特別なスキル
フェスリハーサルに参加して、リンクアピールを5回達成しよう,フェスリハーサルに参加して、リンクアピールを5回達成しよう
フェスリハーサルに参加して、リンクアピールを15回達成しよう,フェスリハーサルに参加して、リンクアピールを15回達成しよう
フェスリハーサルに参加して、パーフェクトを5回達成しよう,フェスリハーサルに参加して、パーフェクトを5回達成しよう
「パーフェクト」：アピールメーターをパーフェクトの位置で止める,「パーフェクト」：アピールメーターをパーフェクトの位置で止める
フェスリハーサルに参加して、パーフェクトを10回達成しよう,フェスリハーサルに参加して、パーフェクトを10回達成しよう
フェスリハーサルに参加して、パーフェクトを15回達成しよう,フェスリハーサルに参加して、パーフェクトを15回達成しよう
フェスリハーサルに参加して、がっちりアピールを達成しよう,フェスリハーサルに参加して、がっちりアピールを達成しよう
「がっちりアピール」：1人の審査員からトップアピールとラストアピールを獲得する,「がっちりアピール」：1人の審査員からトップアピールとラストアピールを獲得する
フェスリハーサルに参加して、がっちりアピールを5回達成しよう,フェスリハーサルに参加して、がっちりアピールを5回達成しよう
NORMAL以上のフェスリハーサルに参加して、がっちりアピールを10回達成しよう,NORMAL以上のフェスリハーサルに参加して、がっちりアピールを10回達成しよう
フェスリハーサルに参加して、1位になろう,フェスリハーサルに参加して、1位になろう
NORMAL以上のフェスリハーサルに参加して、1位になろう,NORMAL以上のフェスリハーサルに参加して、1位になろう
HARD以上のフェスリハーサルに参加して、1位になろう,HARD以上のフェスリハーサルに参加して、1位になろう
VERYHARDのフェスリハーサルに参加して、1位になろう,VERYHARDのフェスリハーサルに参加して、1位になろう
【高難易度】VERYHARDのフェスリハーサルに参加して、1位に3回なろう,【高難易度】VERYHARDのフェスリハーサルに参加して、1位に3回なろう
プチセレクションチケット,プチセレクションチケット
集めるとチケット交換で特定のアイドルと交換できるチケットです,集めるとチケット交換で特定のアイドルと交換できるチケットです
VERYHARDのフェスリハーサルに参加して、2位以上になろう,VERYHARDのフェスリハーサルに参加して、2位以上になろう
VERYHARDのフェスリハーサルに参加して、3位以上になろう,VERYHARDのフェスリハーサルに参加して、3位以上になろう
イルミネーションスターズ全員を編成して、NORMAL以上のフェスに参加しよう,イルミネーションスターズ全員を編成して、NORMAL以上のフェスに参加しよう
イルミネーションスターズ全員を編成して、NORMAL以上のフェスに5回参加しよう,イルミネーションスターズ全員を編成して、NORMAL以上のフェスに5回参加しよう
イルミネーションスターズ全員を編成して、フェスリハーサルで1位になろう,イルミネーションスターズ全員を編成して、フェスリハーサルで1位になろう
イルミネーションスターズ全員を編成して、フェスリハーサルで1位に3回なろう,イルミネーションスターズ全員を編成して、フェスリハーサルで1位に3回なろう
イルミネーションスターズ全員を編成して、NORMAL以上のフェスリハーサルで1位になろう,イルミネーションスターズ全員を編成して、NORMAL以上のフェスリハーサルで1位になろう
イルミネーションスターズ全員を編成して、HARD以上のフェスリハーサルでリンクアピールを達成しよう,イルミネーションスターズ全員を編成して、HARD以上のフェスリハーサルでリンクアピールを達成しよう
イルミネーションスターズ全員を編成して、HARD以上のフェスリハーサルでパーフェクトを3回達成しよう,イルミネーションスターズ全員を編成して、HARD以上のフェスリハーサルでパーフェクトを3回達成しよう
イルミネーションスターズ全員を編成して、HARD以上のフェスリハーサルでがっちりアピールを3回達成しよう,イルミネーションスターズ全員を編成して、HARD以上のフェスリハーサルでがっちりアピールを3回達成しよう
イルミネーションスターズ全員を編成して、HARD以上のフェスリハーサルで1位になろう,イルミネーションスターズ全員を編成して、HARD以上のフェスリハーサルで1位になろう
【高難易度】イルミネーションスターズ全員を編成して、VERYHARDのフェスリハーサルで1位になろう,【高難易度】イルミネーションスターズ全員を編成して、VERYHARDのフェスリハーサルで1位になろう
放課後クライマックスガールズ全員を編成して、NORMAL以上のフェスに参加しよう,放課後クライマックスガールズ全員を編成して、NORMAL以上のフェスに参加しよう
放課後クライマックスガールズ全員を編成して、NORMAL以上のフェスに5回参加しよう,放課後クライマックスガールズ全員を編成して、NORMAL以上のフェスに5回参加しよう
放課後クライマックスガールズ全員を編成して、フェスリハーサルで1位になろう,放課後クライマックスガールズ全員を編成して、フェスリハーサルで1位になろう
放課後クライマックスガールズ全員を編成して、フェスリハーサルで1位に3回なろう,放課後クライマックスガールズ全員を編成して、フェスリハーサルで1位に3回なろう
放課後クライマックスガールズ全員を編成して、NORMAL以上のフェスリハーサルで1位になろう,放課後クライマックスガールズ全員を編成して、NORMAL以上のフェスリハーサルで1位になろう
放課後クライマックスガールズ全員を編成して、HARD以上のフェスリハーサルでリンクアピールを達成しよう,放課後クライマックスガールズ全員を編成して、HARD以上のフェスリハーサルでリンクアピールを達成しよう
放課後クライマックスガールズ全員を編成して、HARD以上のフェスリハーサルでパーフェクトを3回達成しよう,放課後クライマックスガールズ全員を編成して、HARD以上のフェスリハーサルでパーフェクトを3回達成しよう
放課後クライマックスガールズ全員を編成して、HARD以上のフェスリハーサルでがっちりアピールを3回達成しよう,放課後クライマックスガールズ全員を編成して、HARD以上のフェスリハーサルでがっちりアピールを3回達成しよう
放課後クライマックスガールズ全員を編成して、HARD以上のフェスリハーサルで1位になろう,放課後クライマックスガールズ全員を編成して、HARD以上のフェスリハーサルで1位になろう
アンティーカ全員を編成して、NORMAL以上のフェスに参加しよう,アンティーカ全員を編成して、NORMAL以上のフェスに参加しよう
アンティーカ全員を編成して、NORMAL以上のフェスに5回参加しよう,アンティーカ全員を編成して、NORMAL以上のフェスに5回参加しよう
アンティーカ全員を編成して、フェスリハーサルで1位になろう,アンティーカ全員を編成して、フェスリハーサルで1位になろう
アンティーカ全員を編成して、フェスリハーサルで1位に3回なろう,アンティーカ全員を編成して、フェスリハーサルで1位に3回なろう
アンティーカ全員を編成して、NORMAL以上のフェスリハーサルで1位になろう,アンティーカ全員を編成して、NORMAL以上のフェスリハーサルで1位になろう
