comment,trans
スカウト,Scouted
ほんわかしているところ,Very gentle
父、母,"Father, Mother"
両親共にほんわかしている,Parents are also very gentle
サンドイッチ、フルーツ全般,"Sandwiches, Fruits as a whole"
辛いもの、苦いもの,"Spicy foods, Bitter foods"
応援してくれる存在がいること,There are people supporting her
実家,Her home
前を向く,Be optimistic
桜花爛漫,Cherry blossoms in full bloom
ペットの写真を見る,Looks at pictures of her pet
鳥,Birds
特になし,None in particular
ペットの世話、散歩,"Taking care of her pet, walks"
迷惑をかけてしまった,"""I caused her a bit of trouble"""
あたたかくて安心する,Very warm and reassuring
鳥や草花に目が行く,Eyes often end up watching birds or flowers
春夏秋冬,All four
特になし,None in particular
特になし,None in particular
優しくて強い,Kind and strong
笑顔,Her smile
オーディション,Audition
真面目なところ,真面目なところ
父、母,父、母
父は単身赴任中、母も仕事をしている,父は単身赴任中、母も仕事をしている
玉子焼き,玉子焼き
枝豆豆腐,枝豆豆腐
自分を好きになってもらえたこと,自分を好きになってもらえたこと
実家,実家
翌日の準備をしてから寝る,翌日の準備をしてから寝る
艱難汝を玉にす,Hardship makes the man
メノウのお守りを触る,メノウのお守りを触る
猫,猫
特になし,特になし
毎朝テレビの占いを見る,毎朝テレビの占いを見る
ほわっとしている,ほわっとしている
自分とは正反対,自分とは正反対
髪を触る,髪を触る
夏以外,夏以外
特になし,特になし
特になし,特になし
穏やかなところ,穏やかなところ
感情豊かなところ,感情豊かなところ
オーディション,Audition
元気,元気
父、母,父、母
家族仲は良好、母はアメリカ人,家族仲は良好、母はアメリカ人
アイス、はちみつ入りホットミルク,アイス、はちみつ入りホットミルク
特になし,特になし
知らない人に自分が知られていること,知らない人に自分が知られていること
実家,実家
特になし,特になし
十人十色,To each their own
気持ちの充電,気持ちの充電
可愛い動物,可愛い動物
特になし,特になし
ストレッチ,ストレッチ
優しい,Kind
真面目,Honest
鼻歌,鼻歌
夏,夏
特になし,特になし
怪獣,怪獣
笑顔,笑顔
真面目で優しい,真面目で優しい
オーディション,Audition
明るいところ,明るいところ
父、母,父、母
父母は大衆食堂を経営,父母は大衆食堂を経営
父の手料理,父の手料理
特になし,特になし
特になし,特になし
寮,寮
作りすぎた料理はおすそわけする,作りすぎた料理はおすそわけする
ばりすごかアイドルになる！,I'mma be an amazin' idol!
メンバーと話す,メンバーと話す
可愛い動物,可愛い動物
特になし,特になし
規則正しく生活する,規則正しく生活する
おしゃれ,Stylish
かっこいい,Cool
面白い,Interesting
静か,Quiet
長崎弁,長崎弁
春夏秋冬,春夏秋冬
特になし,特になし
アイドル,Idol
前髪,Her fringe
綺麗な黒髪,Beautiful black hair
メガネ,Her glasses
ツインテール,Her twintails
スカウト,Scouted
紫,紫
父、母、爬虫類,父、母、爬虫類
両親はよく摩美々にプレゼントを贈る,両親はよく摩美々にプレゼントを贈る
美味しいもの全般,美味しいもの全般
美味しくないもの全般,美味しくないもの全般
いろんな人がいること,いろんな人がいること
実家,実家
たくさん寝る,たくさん寝る
楽あれば楽あり,You can't have the good without the bad
声出し,声出し
爬虫類,爬虫類
特になし,特になし
特になし,特になし
長崎,Nagasaki
モデル,Model
メガネ,Glasses
白,White
髪を触る,髪を触る
暑くも寒くもない季節,暑くも寒くもない季節
夏,夏
特になし,特になし
うさ耳,うさ耳
ポニーテール,Her ponytail
メガネ,Her glasses
消毒液の匂い,消毒液の匂い
スカウト,Scouted
髪,髪
父（故）、母（故）、祖父、祖母,父（故）、母（故）、祖父、祖母
祖父母と仲が良く、休みの日に祖父母の家に泊まりに行くことがある,祖父母と仲が良く、休みの日に祖父母の家に泊まりに行くことがある
思い出のある食べ物すべて,思い出のある食べ物すべて
特になし,特になし
たくさんの人と交流できること,たくさんの人と交流できること
寮,寮
人との繋がりを大切にする,人との繋がりを大切にする
ディス・イズ・アンティーカ,"""This is L'Antica"""
メンバーと話す,メンバーと話す
メンバーのペット,メンバーのペット
カタツムリ,カタツムリ
人と話す,人と話す
可愛い,Cute
可愛い,Cute
可愛い,Cute
可愛い,Cute
口説く,口説く
梅雨時期以外すべて,梅雨時期以外すべて
特になし,特になし
