text,trans,type
サポートアイドルをトレーニングしよう,Train a Support Idol,text
放課後クライマックスガールズ のメンバーを全員入れたデッキでフェスアイドルを誕生させよう,Create a Fes Idol with every After School Climax Girl in unit,text
フェスをプレイしよう,Play Fes,text
ブロンズトレーニングチケット,Bronze Training Ticket,text
サポートアイドルのトレーニングに必要なチケットです,Ticket required for training Support Idols,text
シルバートレーニングチケット,Silver Training Ticket,text
デイリーミッションを全てクリアしよう,Complete All Daily Missions,text
ゴールドトレーニングチケット,Gold Training Ticket,text
フェスで勝利しよう,Win a Fes,text
ウィークリーミッションを全てクリアしよう,Complete All Weekly Missions,text
フェスアイドルを誕生させよう,Create a Fes Idol,text
フェスに参加しよう,Participate in Fes,text
プラチナトレーニングチケット,Platinum Training Ticket,text
営業をしよう,Complete a Job,text
お手製差し入れ,お手製差し入れ,text
プチセレクションチケット,Petit Selection Ticket,text
集めるとチケット交換で特定のアイドルと交換できるチケットです,모아놓으면 티켓교환으로 특정 아이돌과 교환할 수 있는 티켓입니다,text
「プロ根性」：メンタルが極小時にパーフェクトアピールを行う,「프로 근성」:멘탈이 극소시에 퍼펙트 어필을 실시한다,text
SR以上確定ガシャチケット,SR+ Gacha Ticket,text
SR以上確定ガシャが引けるチケットです,Can Receive an SR+ Gacha Ticket,text
リカバリーソーダ1/4,Recovery Soda 1/4,text
スタミナが最大量の1/4回復します,Restores 1/4 of Max Stamina,text
フェスエントリーチケット,Fes Entry Ticket,text
リカバリーソーダ1/2,Recovery Soda 1/2,text
スタミナが最大量の1/2回復します,Restores 1/2 of Max Stamina,text
フェスの極意は、最後まで逆転を諦めないことだ,"페스의 비결은, 끝까지 승리를 단념하지 않는 것이다",text
「その……会話ってどうすれば\n盛り上がるんでしょうか……？」,「그…… 회화는 어떻게 하면\n분위기를 살리는 걸까요……?」,text
「コミュニケーションは\n節度を持って、ですよ？」,"「커뮤니케이션은\n절도를 가져, 야지요?」",text
初心にかえって研鑽を積み、羽ばたくんだ！,"초심으로 오히려 깊이 연구하여, 날개를 펼친다!",text
プロデューサーさん自慢の甘奈を、活躍させてほしいなっ☆,"프로듀서씨의 자랑인 아마나를, 활약시키기 원하닷☆",text
ずっと、ずっと、お傍においてくださいませ……,"쭉, 쭉, 옆에 있어 주십시오……",text
白い翼を持ったアイドルで、パラダイスを制することができるか？,"흰 날개를 가진 아이돌로, 파라다이스를 억제할 수가 있을까?",text
繰り返し限界を超え、絶対に折れない心を手に入れるんだ,"반복 한계를 넘어, 절대로 접히지 않는 마음을 손에 넣는다",text
ねえねえ、プロデューサー！ なんだかトップアイドルになれそうな気がするよー！,"있지있지, 프로듀서! 뭔가 톱 아이돌이 될 수 있을 것 같은 느낌이 들어요-!",text
限界を超えればまた限界がやってくる。くじけずに歌い続けるのだ,한계를 넘으면 또 한계가 온다. 꺾이지 않고 계속 노래한다,text
パラダイスを制する……魅惑的な響きだと思わないか？,파라다이스를 억제하는…… 매혹적인 영향이라고 생각하지 않는가?,text
「光り輝くアイドルの誕生だ」,「밝게 빛나는 아이돌의 탄생이다」,text
オーバーキャストモノクローム交換チケット,Overcast Monochrome Exchange Ticket,text
オーバーキャストモノクロームと交換できるチケットです,Can receive with an Overcast Monochrome Exchange Ticket,text
ゲームにログインしよう,Log in to the Game,text
283くじ,283 Raffle,text
283くじの抽選が受けれるチケットです。,Can receive a 283 Raffle Ticket,text
W.I.N.G.決勝に進出しよう,W.I.N.G. 결승에 진출하자,text
W.I.N.G.を優勝しよう,W.I.N.G. 에서 우승하자,text
「伝説の一瞬」：1回のアピールで全ての審査員からラストアピールを獲得する,「전설의 일순」 : 1회의 어필로 모든 심사원으로부터 라스트 어필을 획득한다,text
「完全掌握」：全ての審査員からトップアピールを獲得する,"「완전 장악」 : 모든 심사원으로부터 탑 어필을 획득한다",text
「パーフェクトライブ」：全ての審査員からトップアピールとラストアピールを獲得する,「퍼펙트 라이브」 : 모든 심사원으로부터 탑 어필과 라스트 어필을 획득한다,text
SR特訓はづきさん（サポート）,SR특훈 하즈키씨(서포트),text
SRのサポートアイドルを特訓します,SR 서포트 아이돌을 특훈합니다,text
SR特訓はづきさん（プロデュース）,SR특훈 하즈키씨(프로듀스),text
SRのプロデュースアイドルを特訓します,SR 프로듀스 아이돌을 특훈합니다,text
SSR確定ガシャチケット,Guaranteed SSR Gacha Ticket,text
SSR確定ガシャが引けるチケットです,Receive a Guaranteed SSR Gacha Ticket,text
SSR特訓はづきさん（サポート）,SSR특훈 하즈키씨(서포트),text
SSRのサポートアイドルを特訓します,Special Train an SSR Support Idol,text
SSR特訓はづきさん（プロデュース）,SSR특훈 하즈키씨(프로듀스),text
SSRのプロデュースアイドルを特訓します,SSR 프로듀스 아이돌을 특훈합니다,text
【W.I.N.G.編】いずれかのアイドルのTrueEndを見よう,【W.I.N.G.】아무 아이돌의 TrueEnd를 보자,text
【W.I.N.G.編】W.I.N.G.決勝に進出しよう,【W.I.N.G.】W.I.N.G. 결승에 진출하자,text
ファン感謝祭をクリアしよう,팬 감사제를 클리어 하자,text
ファン感謝祭でMVPを1回取ろう,팬 감사제에서 MVP를 1회 획득하자,text
プロデュースを開始しよう,Start a Produce Run,text
トラブルを発生させずにシーズンをクリアしよう,트러블을 일으키지 않고 시즌을 클리어하자,text
「オールアイドル感謝FESTIVAL」に2回合格しよう,"「ALL IDOL 감사FESTIVAL」에 2회 합격하자",text
「夕方ワイド アイドル一番！」に1回合格しよう,"「야간와이드 아이돌 제일!」에 1회 합격하자",text
「踊っていいとも？増刊号」に1回合格しよう,"Pass 「踊っていいとも？増刊号」 1 Time",text
「SPOT LIGHTのせいにして…」に1回合格しよう,"Pass 「SPOT LIGHTのせいにして…」 1 Time",text
「THE LEGEND」に3回合格しよう,"Pass 「THE LEGEND」 3 Times",text
櫻木真乃,Mano Sakuragi,name
風野灯織,Hiori Kazano,name
八宮めぐる,Meguru Hachimiya,name
月岡恋鐘,Kogane Tsukioka,name
田中摩美々,Mamimi Tanaka,name
白瀬咲耶,Sakuya Shirase,name
三峰結華,Yuika Mitsumine,name
幽谷霧子,Kiriko Yukoku,name
小宮果穂,Kaho Komiya,name
園田智代子,Chiyoko Sonoda,name
西城樹里,Juri Saijo,name
杜野凛世,Rinze Morino,name
有栖川夏葉,Natsuha Arisugawa,name
大崎甘奈,Amana Osaki,name
大崎甜花,Tenka Osaki,name
桑山千雪,Chiyuki Kuwayama,name
芹沢あさひ,Asahi Serizawa,name
黛冬優子,Fuyuko Mayuzumi,name
和泉愛依,Mei Izumi,name
フェス,Fes,noun
フェスリハーサル,Fes Rehearsal 리허설,noun
グレードフェス,Grade Fes,noun
リンクアピール,Link Appeal,noun
パーフェクト,Perfect,noun
がっちりアピール,Gacchiri Appeal,noun
トップアピール,Top Appeal,noun
ラストアピール,Last Appeal,noun
プロ根性,프로 근성,noun
NORMAL,NORMAL,noun
HARD,HARD,noun
VERYHARD,VERYHARD,noun
審査員,Judge,noun
イルミネーションスターズ,Illumination Stars,noun
放課後クライマックスガールズ,After School Climax Girls,noun
アンティーカ,L'Antica,noun
アルストロメリア,Alstromeria,noun
ストレイライト,Straylight,noun
完全掌握,Complete Control,noun
フェスマスター,Fes Master,noun
パーフェクトライブ,Perfect Live,noun
伝説の一瞬,전설의 일순,noun
ランクD,Rank D,noun
ランクC,Rank C,noun
ランクB,Rank B,noun
ランクA,Rank A,noun
ランクS,Rank S,noun
W.I.N.G.編,W.I.N.G. Run,note
ファン感謝祭編,TFD Run,note
高難易度,High Difficulty,note
期間限定,Limited Time,note
白いツバサ,White Wing,note
$nounに$num回参加しよう,$1에 $2회 참가하자,exp
営業を$num回しよう,영업을 $1회 하자,exp
フェス参加権が$num回復します,페스 참가권이$1회 회복됩니다,exp
$nounを$num回プレイしよう,$1를 $2회 플레이 하자,exp
フェスアイドルを$num人誕生させよう,페스 아이돌을 $1명 탄생시키자,exp
$nounに参加して、$nounを達成しよう,$1에 참가해、 $2를 달성하자,exp
「$noun」：条件を満たすことで発動できる特別なスキル,「$1」 : 조건을 채우는 것으로 발동할 수 있는 특별한 스킬,exp
$nounに参加して、$nounを$num回達成しよう,$1에 참가해、 $2를 $3회 달성하자,exp
「$noun」：アピールメーターを$nounの位置で止める,「$1」 : 어필 미터를 $2의 위치에서 세운다,exp
「$noun」：$num人の$nounから$nounと$nounを獲得する,「$1」 : $2명의 $3로부터 $4와 $5를 획득한다,exp
$noun以上の$nounに参加して、$nounを$num回達成しよう,$1 이상의 $2에 참가해、 $3를(을) $4회 달성하자,exp
$nounに参加して、$num位になろう,$1에 참가해、 $2위가 되자,exp
$noun以上の$nounに参加して、$num位になろう,$1 이상의 $2에 참가해、 $3위가 되자,exp
$nounの$nounに参加して、$num位になろう,$1의 $2에 참가해、 $3위가 되자,exp
【$note】$nounの$nounに参加して、$num位に$num回なろう,【$1】$2의 $3에 참가해、 $4위를 $5회 하자,exp
$nounの$nounに参加して、$num位以上になろう,$1의 $2에 참가해、 $3위 이상이 되자,exp
$noun全員を編成して、$noun以上の$nounに参加しよう,$1 전원을 편성해、 $2 이상의 $3에 참가하자,exp
$noun全員を編成して、$noun以上の$nounに$num回参加しよう,$1 전원을 편성해、 $2 이상의 $3에 $4회 참가하자,exp
$noun全員を編成して、$nounで$num位になろう,$1 전원을 편성해、 $2에서 $3위가 되자,exp
$noun全員を編成して、$nounで$num位に$num回なろう,$1 전원을 편성해、 $2에서 $3위를 $4회 하자,exp
$noun全員を編成して、$noun以上の$nounで$num位になろう,$1 전원을 편성해、 $2 이상의 $3에서 $4위가 되자,exp
$noun全員を編成して、$noun以上の$nounで$nounを達成しよう,$1 전원을 편성해、 $2 이상의 $3에서 $4을 달성하자,exp
$noun全員を編成して、$noun以上の$nounで$nounを$num回達成しよう,$1 전원을 편성해、 $2 이상의 $3에서 $4를 $5회 달성하자,exp
【$note】$noun全員を編成して、$nounの$nounで$num位になろう,【$1】$2 전원을 편성해、 $3의 $4에서 $5위가 되자,exp
$nameのファンを累計で$num人獲得しよう,$1의 팬을 누계로 $2명 획득하자,exp
$nameのファンを累計で$num万人獲得しよう,$1의 팬을 누계로 $2만명 획득하자,exp
$nameのファンを累計で$num億人獲得しよう,$1의 팬을 누계로 $2억명 획득하자,exp
ファンを累計で$num人獲得しよう,팬을 누계로 $1명 획득하자,exp
ファンを累計で$num万人獲得しよう,팬을 누계로 $1만명 획득하자,exp
