id,name,text,trans
5006001000120010,咲耶,アナタに良い知らせができなくて、残念だ……,"I couldn't bring you good news, I'm sorry..."
5006001000120020,咲耶,"合格して、みんなの笑顔……
そして、アナタの笑顔が見たかった……","Passing, and everyone's smiles... and then, to see your smile..."
0000000000000,プロデューサー,"そんなに落ち込むことはないぞ、咲耶
パフォーマンスも決して悪くなかった","You shouldn't be feeling so down, Sakuya. Your performance wasn't bad either."
0000000000000,プロデューサー,"オーディションはまたあるんだ
今回の経験を活かして、また次で頑張ろう！","There are still more auditions. Make use of your experience from this, and do your best next time!"
5006001000120030,咲耶,"そうだね。落ち込んでいても仕方ない
失敗をバネにして、より努力しようじゃないか",You're right. Feeling down is also fruitless. I should use this failure as a springboard to put in even more effort.
5006001000120040,咲耶,"次は必ず合格するよ
そして、今度こそみんなを笑顔にさせてみせる","I'll definitely pass next time. And then, I'll make everyone smile."
info,produce_communication_auditions/500600100012.json,
Translator,Batsu,
